CoordinateX;CoordinateY;Banda;NVolte
5043;1032;CORLEONE;7
4004;212;GAMBINO;1
4974;963;CORLEONE;7
3000;1600;CAPONE;0
5034;997;CORLEONE;9
509;1592;TATTAGLIA;8
2905;1589;CAPONE;8
5025;910;CORLEONE;2
5028;1031;CORLEONE;7
4925;280;SOPRANO;0
3010;1551;CAPONE;10
5029;931;CORLEONE;4
945;225;GENOVESE;2
990;293;GENOVESE;7
549;1530;TATTAGLIA;5
999;216;GENOVESE;8
1030;229;GENOVESE;8
1040;256;GENOVESE;6
4929;253;SOPRANO;0
4913;1044;CORLEONE;5
5003;1010;CORLEONE;6
5080;1056;CORLEONE;3
5000;250;SOPRANO;0
4026;252;GAMBINO;2
959;276;GENOVESE;4
1024;364;GENOVESE;4
989;269;GENOVESE;10
559;1551;TATTAGLIA;7
2963;1619;CAPONE;0
4993;228;SOPRANO;9
1051;283;GENOVESE;8
4944;238;SOPRANO;6
5022;253;SOPRANO;6
469;1500;TATTAGLIA;7
3006;1590;CAPONE;9
1004;308;GENOVESE;2
971;255;GENOVESE;2
5038;254;SOPRANO;4
5064;963;CORLEONE;8
578;1561;TATTAGLIA;0
4001;199;GAMBINO;4
946;283;GENOVESE;9
2992;1589;CAPONE;7
3958;224;GAMBINO;3
4969;986;CORLEONE;4
976;374;GENOVESE;8
5004;181;SOPRANO;10
3969;182;GAMBINO;5
2992;1626;CAPONE;4
4936;239;SOPRANO;2
531;1447;TATTAGLIA;7
3003;1562;CAPONE;6
4089;241;GAMBINO;0
4001;183;GAMBINO;5
424;1468;TATTAGLIA;2
978;323;GENOVESE;7
4932;250;SOPRANO;10
4979;276;SOPRANO;10
4907;979;CORLEONE;10
5010;1001;CORLEONE;6
938;305;GENOVESE;8
984;300;GENOVESE;2
2922;1625;CAPONE;10
5021;341;SOPRANO;2
4017;200;GAMBINO;7
4003;154;GAMBINO;5
5074;948;CORLEONE;1
1017;319;GENOVESE;3
4957;1012;CORLEONE;3
2999;1611;CAPONE;5
553;1452;TATTAGLIA;4
4989;998;CORLEONE;1
5065;322;SOPRANO;7
4002;186;GAMBINO;9
4974;222;SOPRANO;5
5015;272;SOPRANO;1
465;1492;TATTAGLIA;8
4005;236;GAMBINO;7
4942;285;SOPRANO;5
5004;282;SOPRANO;4
4003;204;GAMBINO;0
5007;250;SOPRANO;7
4952;983;CORLEONE;7
3003;1639;CAPONE;6
4029;160;GAMBINO;1
499;1491;TATTAGLIA;4
3061;1541;CAPONE;4
557;1537;TATTAGLIA;4
3000;1600;CAPONE;0
4000;199;GAMBINO;6
4002;257;GAMBINO;8
3979;241;GAMBINO;8
475;1529;TATTAGLIA;1
5076;1013;CORLEONE;10
5009;1051;CORLEONE;3
980;293;GENOVESE;6
5038;178;SOPRANO;5
551;1452;TATTAGLIA;10
2958;1673;CAPONE;4
4029;286;GAMBINO;4
1068;341;GENOVESE;4
478;1504;TATTAGLIA;2
5049;1001;CORLEONE;7
427;1441;TATTAGLIA;3
3961;207;GAMBINO;4
5014;213;SOPRANO;0
2964;1540;CAPONE;7
535;1570;TATTAGLIA;2
2996;1638;CAPONE;0
5032;301;SOPRANO;9
3937;175;GAMBINO;10
3021;1551;CAPONE;5
2992;1587;CAPONE;9
955;265;GENOVESE;5
5033;252;SOPRANO;1
1015;346;GENOVESE;9
4000;173;GAMBINO;8
999;301;GENOVESE;8
973;349;GENOVESE;9
4947;935;CORLEONE;3
4996;985;CORLEONE;5
5047;1081;CORLEONE;2
4935;994;CORLEONE;6
5062;980;CORLEONE;8
4968;191;SOPRANO;9
504;1497;TATTAGLIA;4
3977;123;GAMBINO;5
4980;270;SOPRANO;4
507;1505;TATTAGLIA;7
501;1485;TATTAGLIA;10
4000;198;GAMBINO;9
4973;976;CORLEONE;2
5028;290;SOPRANO;1
2948;1542;CAPONE;10
3011;1602;CAPONE;4
3972;191;GAMBINO;4
496;1471;TATTAGLIA;5
2954;1549;CAPONE;0
5075;1014;CORLEONE;6
4971;990;CORLEONE;3
513;1586;TATTAGLIA;5
491;1562;TATTAGLIA;8
926;322;GENOVESE;7
1035;247;GENOVESE;9
3963;189;GAMBINO;5
956;304;GENOVESE;5
3005;1600;CAPONE;10
2987;1629;CAPONE;6
3955;206;GAMBINO;10
475;1542;TATTAGLIA;7
461;1429;TATTAGLIA;6
3000;1593;CAPONE;8
481;1410;TATTAGLIA;7
3011;1566;CAPONE;5
4912;1035;CORLEONE;1
5027;228;SOPRANO;6
5030;1019;CORLEONE;5
986;307;GENOVESE;9
3992;146;GAMBINO;3
4977;243;SOPRANO;10
3033;1542;CAPONE;2
497;1457;TATTAGLIA;6
5000;253;SOPRANO;2
3953;148;GAMBINO;4
513;1513;TATTAGLIA;10
5074;1031;CORLEONE;10
5057;298;SOPRANO;6
4040;161;GAMBINO;6
1012;304;GENOVESE;7
469;1528;TATTAGLIA;0
4955;279;SOPRANO;10
5006;910;CORLEONE;9
932;295;GENOVESE;5
1023;287;GENOVESE;0
5038;202;SOPRANO;7
496;1509;TATTAGLIA;4
501;1502;TATTAGLIA;4
2991;1646;CAPONE;2
3952;215;GAMBINO;5
2912;1587;CAPONE;6
2980;1571;CAPONE;9
5003;990;CORLEONE;8
500;1500;TATTAGLIA;0
4978;975;CORLEONE;9
5000;985;CORLEONE;7
997;306;GENOVESE;0
3946;280;GAMBINO;6
2997;1588;CAPONE;2
560;1531;TATTAGLIA;1
1044;341;GENOVESE;2
5070;987;CORLEONE;6
2915;1627;CAPONE;6
4938;1051;CORLEONE;5
3954;259;GAMBINO;10
501;1497;TATTAGLIA;7
975;232;GENOVESE;1
4000;200;GAMBINO;9
3082;1628;CAPONE;10
3981;195;GAMBINO;8
3962;238;GAMBINO;8
470;1509;TATTAGLIA;1
536;1493;TATTAGLIA;2
3000;1600;CAPONE;4
4004;114;GAMBINO;6
4966;1001;CORLEONE;1
3971;177;GAMBINO;1
5038;228;SOPRANO;9
512;1510;TATTAGLIA;3
3999;200;GAMBINO;0
494;1573;TATTAGLIA;10
4051;163;GAMBINO;9
4950;1006;CORLEONE;1
4932;235;SOPRANO;1
4959;1016;CORLEONE;2
4975;994;CORLEONE;0
5049;274;SOPRANO;7
4956;337;SOPRANO;9
3910;169;GAMBINO;4
5064;935;CORLEONE;5
3974;215;GAMBINO;1
3953;192;GAMBINO;10
513;1480;TATTAGLIA;6
2979;1655;CAPONE;4
4052;210;GAMBINO;4
5037;1019;CORLEONE;4
4003;108;GAMBINO;6
5092;220;SOPRANO;2
491;1523;TATTAGLIA;1
5000;1000;CORLEONE;5
4066;254;GAMBINO;3
3023;1673;CAPONE;5
2906;1591;CAPONE;5
500;1448;TATTAGLIA;9
4000;200;GAMBINO;10
4982;224;SOPRANO;10
3006;1597;CAPONE;3
3985;217;GAMBINO;1
1064;312;GENOVESE;7
5012;979;CORLEONE;0
4993;1046;CORLEONE;4
3950;168;GAMBINO;0
1037;300;GENOVESE;9
977;251;GENOVESE;10
3002;1681;CAPONE;6
478;1432;TATTAGLIA;2
3022;1520;CAPONE;3
5045;203;SOPRANO;3
5000;1014;CORLEONE;10
3934;254;GAMBINO;5
5045;287;SOPRANO;6
3041;1534;CAPONE;4
5023;965;CORLEONE;3
5017;1007;CORLEONE;4
461;1511;TATTAGLIA;3
544;1428;TATTAGLIA;4
5052;180;SOPRANO;6
497;1529;TATTAGLIA;3
5032;166;SOPRANO;8
5015;1009;CORLEONE;9
592;1508;TATTAGLIA;8
1004;297;GENOVESE;10
3024;1685;CAPONE;8
974;358;GENOVESE;8
3972;223;GAMBINO;10
3082;1614;CAPONE;4
5032;1059;CORLEONE;7
502;1581;TATTAGLIA;6
2935;1581;CAPONE;4
1028;323;GENOVESE;4
4988;1004;CORLEONE;10
3966;240;GAMBINO;4
521;1493;TATTAGLIA;2
2934;1534;CAPONE;1
4989;934;CORLEONE;1
1048;301;GENOVESE;8
2973;1620;CAPONE;8
991;282;GENOVESE;8
2951;1519;CAPONE;2
2997;1564;CAPONE;3
2986;1644;CAPONE;2
515;1445;TATTAGLIA;4
500;1500;TATTAGLIA;2
5068;259;SOPRANO;2
5030;1007;CORLEONE;10
4018;223;GAMBINO;5
2973;1677;CAPONE;0
3048;1622;CAPONE;7
4982;299;SOPRANO;1
5015;252;SOPRANO;0
973;324;GENOVESE;5
4996;1000;CORLEONE;6
3995;208;GAMBINO;0
466;1505;TATTAGLIA;7
1063;265;GENOVESE;7
3003;1608;CAPONE;8
3013;1619;CAPONE;9
4981;271;SOPRANO;7
4997;1020;CORLEONE;8
5064;957;CORLEONE;1
5001;994;CORLEONE;3
1026;271;GENOVESE;1
1085;341;GENOVESE;4
5017;160;SOPRANO;1
4979;936;CORLEONE;6
4078;227;GAMBINO;3
4983;258;SOPRANO;1
5017;319;SOPRANO;1
1079;351;GENOVESE;2
3005;1657;CAPONE;1
4000;224;GAMBINO;9
4003;201;GAMBINO;1
505;1496;TATTAGLIA;5
1058;262;GENOVESE;10
4990;312;SOPRANO;10
3992;197;GAMBINO;5
4014;257;GAMBINO;1
5031;160;SOPRANO;7
3997;207;GAMBINO;7
1072;345;GENOVESE;8
3049;1625;CAPONE;0
4036;129;GAMBINO;6
4009;174;GAMBINO;8
4000;200;GAMBINO;2
496;1487;TATTAGLIA;7
2951;1633;CAPONE;3
564;1513;TATTAGLIA;8
498;1500;TATTAGLIA;0
2984;1544;CAPONE;8
4973;966;CORLEONE;6
4025;208;GAMBINO;0
5056;940;CORLEONE;7
5000;1008;CORLEONE;4
4975;313;SOPRANO;8
5000;1000;CORLEONE;7
536;1460;TATTAGLIA;3
5039;961;CORLEONE;4
4970;225;SOPRANO;3
432;1437;TATTAGLIA;6
1057;276;GENOVESE;8
4965;1084;CORLEONE;4
5070;1059;CORLEONE;8
4983;951;CORLEONE;3
433;1475;TATTAGLIA;0
981;275;GENOVESE;3
5041;250;SOPRANO;6
4979;198;SOPRANO;2
3022;1623;CAPONE;10
1000;300;GENOVESE;3
496;1494;TATTAGLIA;6
965;306;GENOVESE;5
991;282;GENOVESE;10
5028;956;CORLEONE;9
518;1434;TATTAGLIA;7
4000;160;GAMBINO;0
1020;224;GENOVESE;7
4961;939;CORLEONE;0
4989;919;CORLEONE;5
511;1486;TATTAGLIA;2
500;1504;TATTAGLIA;2
979;347;GENOVESE;6
2995;1614;CAPONE;3
3971;179;GAMBINO;10
5010;281;SOPRANO;2
3954;158;GAMBINO;10
4928;948;CORLEONE;6
1042;312;GENOVESE;8
3997;134;GAMBINO;5
4009;216;GAMBINO;8
5008;248;SOPRANO;9
3987;182;GAMBINO;2
3055;1603;CAPONE;8
573;1513;TATTAGLIA;1
4062;131;GAMBINO;10
3009;1599;CAPONE;2
4976;1060;CORLEONE;7
5000;1000;CORLEONE;2
5090;261;SOPRANO;0
5035;225;SOPRANO;5
4010;212;GAMBINO;9
417;1528;TATTAGLIA;3
4996;282;SOPRANO;5
5041;948;CORLEONE;2
986;266;GENOVESE;8
3997;207;GAMBINO;7
990;293;GENOVESE;5
4956;988;CORLEONE;8
5048;237;SOPRANO;5
480;1480;TATTAGLIA;10
5002;249;SOPRANO;2
2978;1539;CAPONE;10
4987;244;SOPRANO;1
5013;978;CORLEONE;5
2999;1553;CAPONE;1
4976;249;SOPRANO;6
932;269;GENOVESE;1
3003;1546;CAPONE;0
2978;1624;CAPONE;3
4984;1006;CORLEONE;2
495;1520;TATTAGLIA;7
3050;1556;CAPONE;4
974;313;GENOVESE;2
1000;276;GENOVESE;6
5084;197;SOPRANO;7
4018;173;GAMBINO;8
3090;1603;CAPONE;1
4988;1039;CORLEONE;1
4970;934;CORLEONE;0
2936;1534;CAPONE;3
567;1492;TATTAGLIA;2
511;1518;TATTAGLIA;5
4953;935;CORLEONE;7
1014;362;GENOVESE;2
1043;218;GENOVESE;3
5038;206;SOPRANO;7
5003;235;SOPRANO;3
4996;1040;CORLEONE;10
5008;341;SOPRANO;0
3033;1681;CAPONE;8
4995;208;SOPRANO;0
5004;248;SOPRANO;1
1006;295;GENOVESE;0
5072;261;SOPRANO;8
988;348;GENOVESE;2
5000;1000;CORLEONE;5
3945;137;GAMBINO;8
5029;910;CORLEONE;8
939;285;GENOVESE;1
555;1525;TATTAGLIA;8
4003;135;GAMBINO;6
2999;1568;CAPONE;2
518;1491;TATTAGLIA;9
476;1490;TATTAGLIA;5
4004;173;GAMBINO;3
1052;317;GENOVESE;2
498;1575;TATTAGLIA;1
996;266;GENOVESE;10
5002;915;CORLEONE;4
4987;287;SOPRANO;3
5000;249;SOPRANO;10
3028;1521;CAPONE;10
506;1422;TATTAGLIA;1
4080;164;GAMBINO;3
3015;1600;CAPONE;3
992;350;GENOVESE;1
4049;258;GAMBINO;4
557;1543;TATTAGLIA;6
5094;1030;CORLEONE;4
4926;298;SOPRANO;6
4928;243;SOPRANO;7
975;212;GENOVESE;0
5006;1004;CORLEONE;3
3030;1571;CAPONE;9
4991;298;SOPRANO;0
511;1500;TATTAGLIA;3
3949;164;GAMBINO;3
4947;221;SOPRANO;2
1052;225;GENOVESE;1
1003;302;GENOVESE;9
509;1454;TATTAGLIA;7
1025;231;GENOVESE;1
1022;261;GENOVESE;6
5002;998;CORLEONE;7
3075;1654;CAPONE;1
526;1587;TATTAGLIA;3
423;1501;TATTAGLIA;3
4923;1063;CORLEONE;2
5010;182;SOPRANO;1
4014;174;GAMBINO;5
982;307;GENOVESE;4
987;303;GENOVESE;5
466;1493;TATTAGLIA;4
1082;300;GENOVESE;3
973;293;GENOVESE;10
4032;209;GAMBINO;7
5057;924;CORLEONE;6
3973;176;GAMBINO;0
5049;1021;CORLEONE;4
3037;1638;CAPONE;4
4974;234;SOPRANO;9
3994;219;GAMBINO;1
4000;200;GAMBINO;2
4068;213;GAMBINO;7
464;1415;TATTAGLIA;7
502;1456;TATTAGLIA;8
4004;201;GAMBINO;10
4008;158;GAMBINO;9
5027;305;SOPRANO;5
4921;955;CORLEONE;0
5009;222;SOPRANO;7
5048;195;SOPRANO;9
4016;134;GAMBINO;2
4997;258;SOPRANO;6
4999;1001;CORLEONE;0
1001;302;GENOVESE;9
990;297;GENOVESE;4
3004;1516;CAPONE;2
1017;313;GENOVESE;0
4028;202;GAMBINO;4
941;292;GENOVESE;4
5076;953;CORLEONE;8
4999;251;SOPRANO;10
1051;304;GENOVESE;2
3911;203;GAMBINO;1
4987;268;SOPRANO;9
542;1500;TATTAGLIA;3
3974;219;GAMBINO;10
1063;300;GENOVESE;6
512;1446;TATTAGLIA;8
941;314;GENOVESE;4
950;377;GENOVESE;9
1008;310;GENOVESE;10
991;283;GENOVESE;8
5020;202;SOPRANO;9
5009;245;SOPRANO;10
2997;1592;CAPONE;4
4990;243;SOPRANO;4
4985;938;CORLEONE;6
3949;133;GAMBINO;2
2989;1618;CAPONE;6
1000;284;GENOVESE;3
5039;306;SOPRANO;4
974;372;GENOVESE;3
966;293;GENOVESE;5
992;311;GENOVESE;7
4949;326;SOPRANO;7
2947;1671;CAPONE;6
509;1562;TATTAGLIA;9
3983;183;GAMBINO;3
473;1524;TATTAGLIA;4
5035;1082;CORLEONE;6
4955;196;SOPRANO;2
4982;923;CORLEONE;9
5001;249;SOPRANO;0
1042;277;GENOVESE;7
1006;225;GENOVESE;1
4978;1069;CORLEONE;3
4025;191;GAMBINO;1
432;1456;TATTAGLIA;6
4029;230;GAMBINO;4
5073;947;CORLEONE;0
4016;202;GAMBINO;3
997;283;GENOVESE;10
5086;1023;CORLEONE;1
1051;264;GENOVESE;2
4000;201;GAMBINO;7
2997;1603;CAPONE;5
4051;209;GAMBINO;10
4042;164;GAMBINO;2
1021;279;GENOVESE;1
2996;1591;CAPONE;10
3977;194;GAMBINO;8
3033;1671;CAPONE;7
3031;1661;CAPONE;3
463;1517;TATTAGLIA;10
1058;302;GENOVESE;2
2992;1605;CAPONE;3
1002;260;GENOVESE;10
2916;1550;CAPONE;6
979;300;GENOVESE;3
538;1547;TATTAGLIA;7
5043;209;SOPRANO;7
1012;219;GENOVESE;4
4990;995;CORLEONE;8
1000;300;GENOVESE;3
1001;309;GENOVESE;4
3030;1516;CAPONE;2
4995;263;SOPRANO;9
986;316;GENOVESE;2
3002;1587;CAPONE;10
2991;1567;CAPONE;2
2963;1616;CAPONE;8
3949;166;GAMBINO;3
5085;1041;CORLEONE;2
3963;253;GAMBINO;7
3011;1527;CAPONE;8
4937;208;SOPRANO;10
936;374;GENOVESE;5
1015;315;GENOVESE;9
2983;1580;CAPONE;7
3041;1522;CAPONE;6
3012;1569;CAPONE;10
2972;1595;CAPONE;5
4970;221;SOPRANO;3
3004;1637;CAPONE;6
501;1502;TATTAGLIA;1
2950;1674;CAPONE;9
4998;279;SOPRANO;2
3994;200;GAMBINO;4
5068;318;SOPRANO;1
4977;250;SOPRANO;2
3927;199;GAMBINO;9
498;1553;TATTAGLIA;4
3944;166;GAMBINO;2
968;208;GENOVESE;4
3989;263;GAMBINO;5
981;242;GENOVESE;10
500;1500;TATTAGLIA;7
509;1568;TATTAGLIA;3
3039;1566;CAPONE;10
5032;177;SOPRANO;0
4955;997;CORLEONE;6
4912;270;SOPRANO;0
