Data;tipoOperazione(pubblicazione);idAnnuncio;idAbitazione;M2;prezzoM2Proposto
2010_01_03;pubblicazione;992;GCXK;180;8679
2010_01_03;pubblicazione;1357;BPJM;90;5197
2010_01_03;pubblicazione;1368;EIHX;120;5662
2010_01_03;pubblicazione;1481;EHFA;50;9492
2010_01_03;pubblicazione;1589;APTG;50;8347
2010_01_03;pubblicazione;1618;APDM;300;6362
2010_01_03;pubblicazione;1978;ABBP;200;1317
2010_01_03;pubblicazione;1991;CATY;180;7651
2010_01_03;rimozione;61
2010_01_04;pubblicazione;40;FOMK;120;8282
2010_01_04;pubblicazione;147;ELNJ;50;7557
2010_01_04;pubblicazione;191;CYPQ;120;9525
2010_01_04;pubblicazione;213;FDUC;120;8699
2010_01_04;pubblicazione;410;CFSE;90;8259
2010_01_04;pubblicazione;480;DRJR;90;9820
2010_01_04;pubblicazione;888;BIVL;120;2747
2010_01_04;pubblicazione;1112;DWEK;120;6798
2010_01_04;pubblicazione;1215;FQJL;300;1484
2010_01_04;pubblicazione;1494;AAVL;120;3662
2010_01_04;pubblicazione;1520;EJFV;150;7571
2010_01_04;pubblicazione;1646;FKCC;180;5440
2010_01_04;pubblicazione;1697;FTLJ;120;4826
2010_01_05;pubblicazione;2;GBEJ;50;2974
2010_01_05;pubblicazione;38;EYSD;90;5794
2010_01_05;pubblicazione;376;CGVI;50;6268
2010_01_05;pubblicazione;414;CDLI;50;6078
2010_01_05;pubblicazione;425;AJBB;100;7584
2010_01_05;pubblicazione;553;ELVK;90;9448
2010_01_05;pubblicazione;831;DOOX;180;7311
2010_01_05;pubblicazione;875;CLFF;100;3351
2010_01_05;pubblicazione;879;BRIF;90;2049
2010_01_05;pubblicazione;1404;GBJA;300;4742
2010_01_05;pubblicazione;1464;AKWB;100;7391
2010_01_05;pubblicazione;1568;CIMA;150;9679
2010_01_05;pubblicazione;1572;COEI;120;2842
2010_01_05;pubblicazione;1713;GHUO;100;8668
2010_01_05;pubblicazione;1824;CRHF;50;9541
2010_01_05;pubblicazione;1939;BUOL;200;8696
2010_01_05;rimozione;391
2010_01_06;pubblicazione;142;BSOI;200;4015
2010_01_06;pubblicazione;143;CSLU;50;7797
2010_01_06;pubblicazione;145;GFFJ;200;6785
2010_01_06;pubblicazione;626;DPXI;180;5379
2010_01_06;pubblicazione;674;FTCI;90;8914
2010_01_06;pubblicazione;755;DSOX;90;8288
2010_01_06;pubblicazione;981;FPVC;90;6246
2010_01_06;pubblicazione;1356;GGAY;50;5382
2010_01_06;pubblicazione;1467;BUCJ;120;9517
2010_01_06;pubblicazione;1497;DAWG;150;4764
2010_01_06;pubblicazione;1914;EQID;150;3109
2010_01_06;pubblicazione;1919;ECKK;50;8006
2010_01_06;pubblicazione;1951;GGCC;120;1427
2010_01_07;pubblicazione;15;FKAX;90;9646
2010_01_07;pubblicazione;21;AAPG;90;8655
2010_01_07;pubblicazione;48;EOTS;150;5313
2010_01_07;pubblicazione;264;ABJB;120;2042
2010_01_07;pubblicazione;499;APWC;180;5962
2010_01_07;pubblicazione;549;AUSP;150;1898
2010_01_07;pubblicazione;601;EGTH;90;1667
2010_01_07;pubblicazione;617;CGLC;200;3755
2010_01_07;pubblicazione;620;FXEU;180;2157
2010_01_07;pubblicazione;730;ENRT;200;1407
2010_01_07;pubblicazione;749;CMAV;100;5689
2010_01_07;pubblicazione;941;ETBB;120;9444
2010_01_07;pubblicazione;1003;AJSE;100;3446
2010_01_07;pubblicazione;1372;BKKD;150;9413
2010_01_07;pubblicazione;1411;ADHQ;90;9578
2010_01_07;pubblicazione;1413;AEJT;50;1275
2010_01_07;pubblicazione;1541;BKQS;150;9308
2010_01_07;pubblicazione;1566;BLUU;200;5046
2010_01_07;pubblicazione;1834;FGNK;300;4072
2010_01_08;pubblicazione;265;CFHG;150;8999
2010_01_08;pubblicazione;365;CKDM;200;2853
2010_01_08;pubblicazione;403;DJUB;120;2326
2010_01_08;pubblicazione;478;EVGS;90;8642
2010_01_08;pubblicazione;598;CRUD;300;6187
2010_01_08;pubblicazione;647;DLNR;90;4527
2010_01_08;pubblicazione;675;CJMQ;300;2109
2010_01_08;pubblicazione;723;CTJM;50;3285
2010_01_08;pubblicazione;906;DTMV;120;3471
2010_01_08;pubblicazione;973;EQCV;300;7405
2010_01_08;pubblicazione;996;BDNJ;50;9259
2010_01_08;pubblicazione;1040;ATEO;120;7773
2010_01_08;pubblicazione;1154;BVBI;90;2521
2010_01_08;pubblicazione;1188;CGEC;150;6802
2010_01_08;pubblicazione;1428;CYXA;300;8430
2010_01_08;pubblicazione;1468;FEMN;100;7787
2010_01_08;pubblicazione;1498;APYR;180;9794
2010_01_08;pubblicazione;1506;DUAY;120;7278
2010_01_08;pubblicazione;1529;AILG;150;8335
2010_01_08;pubblicazione;1629;FYHE;300;9295
2010_01_08;pubblicazione;1703;BEYW;120;7847
2010_01_08;pubblicazione;1762;FEJA;300;9878
2010_01_08;pubblicazione;1802;BWGV;100;5789
2010_01_08;pubblicazione;1988;CJST;120;2193
2010_01_08;pubblicazione;1996;BXWC;120;2255
2010_01_08;rimozione;1418
2010_01_09;pubblicazione;29;BFGJ;50;1248
2010_01_09;pubblicazione;77;GGXI;50;4608
2010_01_09;pubblicazione;162;DEDF;150;2838
2010_01_09;pubblicazione;209;EEQG;100;8305
2010_01_09;pubblicazione;322;CPTJ;100;4197
2010_01_09;pubblicazione;382;EIQK;200;5006
2010_01_09;pubblicazione;440;AQML;180;2398
2010_01_09;pubblicazione;918;BMVY;180;6121
2010_01_09;pubblicazione;939;DQYF;300;8255
2010_01_09;pubblicazione;1161;DVSQ;150;3363
2010_01_09;pubblicazione;1163;CCTP;300;2009
2010_01_09;pubblicazione;1201;DXDC;200;4153
2010_01_09;pubblicazione;1381;EXCG;150;9237
2010_01_09;pubblicazione;1499;AMYA;90;3022
2010_01_09;pubblicazione;1561;BHQR;150;7037
2010_01_09;pubblicazione;1596;BFGU;90;7293
2010_01_10;pubblicazione;17;ALKN;300;4652
2010_01_10;pubblicazione;124;EBBC;150;2108
2010_01_10;pubblicazione;235;FONS;100;9867
2010_01_10;pubblicazione;420;GERS;180;2132
2010_01_10;pubblicazione;502;AGYA;150;8811
2010_01_10;pubblicazione;616;AOBX;100;9789
2010_01_10;pubblicazione;686;CEWD;300;6737
2010_01_10;pubblicazione;873;AGAC;50;4517
2010_01_10;pubblicazione;890;GEUK;50;7912
2010_01_10;pubblicazione;1160;BUGR;200;5149
2010_01_10;pubblicazione;1275;CTDX;200;3259
2010_01_10;pubblicazione;1355;GJGI;200;1159
2010_01_10;pubblicazione;1450;DHFH;120;2656
2010_01_10;pubblicazione;1691;CXYO;50;3244
2010_01_10;pubblicazione;1794;DCGL;180;6969
2010_01_10;pubblicazione;1839;CIWE;90;6955
2010_01_10;pubblicazione;1889;BAGF;120;7639
2010_01_11;pubblicazione;251;EVLQ;120;5837
2010_01_11;pubblicazione;259;ATBM;180;2864
2010_01_11;pubblicazione;367;DIIS;150;5311
2010_01_11;pubblicazione;388;BCJR;200;4190
2010_01_11;pubblicazione;577;DDRD;300;8938
2010_01_11;pubblicazione;1118;CCQX;50;6776
2010_01_11;pubblicazione;1157;BALL;120;9025
2010_01_11;pubblicazione;1327;EKXU;180;3854
2010_01_11;pubblicazione;1358;DSGL;300;5564
2010_01_11;pubblicazione;1423;EOTM;120;4094
2010_01_11;pubblicazione;1584;GEDK;120;8277
2010_01_11;pubblicazione;1810;CCUK;100;7018
2010_01_11;pubblicazione;1843;DKCJ;50;8996
2010_01_11;pubblicazione;1942;FUHH;200;5012
2010_01_11;pubblicazione;1962;EHAR;120;8146
2010_01_11;pubblicazione;1997;COTP;200;7847
2010_01_11;rimozione;480
2010_01_11;rimozione;1464
2010_01_12;pubblicazione;245;ERHB;180;7940
2010_01_12;pubblicazione;491;GDBQ;90;4605
2010_01_12;pubblicazione;530;DEDN;100;3856
2010_01_12;pubblicazione;637;ABCQ;150;1735
2010_01_12;pubblicazione;652;DKYV;120;3697
2010_01_12;pubblicazione;702;BMTA;90;1657
2010_01_12;pubblicazione;784;BWRO;180;7963
2010_01_12;pubblicazione;811;EEIO;150;5082
2010_01_12;pubblicazione;865;CUOR;100;8791
2010_01_12;pubblicazione;974;DMXM;120;6704
2010_01_12;pubblicazione;985;EGDL;50;1972
2010_01_12;pubblicazione;987;DBJI;180;5342
2010_01_12;pubblicazione;1268;APQA;300;4550
2010_01_12;pubblicazione;1343;FDCY;120;5212
2010_01_12;pubblicazione;1544;GHKA;90;2299
2010_01_12;pubblicazione;1694;CBEI;100;4356
2010_01_12;pubblicazione;1761;DJDR;180;8608
2010_01_12;pubblicazione;1872;GCCA;200;7922
2010_01_12;pubblicazione;1971;EMWA;300;4248
2010_01_12;rimozione;376
2010_01_12;rimozione;973
2010_01_12;rimozione;992
2010_01_13;pubblicazione;214;CKLR;200;9959
2010_01_13;pubblicazione;226;EPHB;150;8724
2010_01_13;pubblicazione;529;ATQB;100;7219
2010_01_13;pubblicazione;679;FFVT;200;1637
2010_01_13;pubblicazione;688;FXWH;100;8309
2010_01_13;pubblicazione;848;BJOE;180;4950
2010_01_13;pubblicazione;975;AOFP;100;2258
2010_01_13;pubblicazione;1101;CVTP;150;3779
2010_01_13;pubblicazione;1155;ANFN;300;1090
2010_01_13;pubblicazione;1159;CKWM;200;6274
2010_01_13;pubblicazione;1538;ERQU;150;9468
2010_01_13;pubblicazione;1615;FWPN;50;1928
2010_01_13;pubblicazione;1804;ASHO;150;7506
2010_01_13;pubblicazione;1807;AAJT;50;9095
2010_01_13;pubblicazione;1865;DNCC;50;7155
2010_01_13;pubblicazione;1959;DRUN;200;4468
2010_01_14;pubblicazione;193;AFYT;50;8690
2010_01_14;pubblicazione;798;FSAV;100;5088
2010_01_14;pubblicazione;827;GJXI;180;8226
2010_01_14;pubblicazione;902;AEEW;90;5607
2010_01_14;pubblicazione;1037;EIRW;300;2926
2010_01_14;pubblicazione;1062;BUQS;180;7301
2010_01_14;pubblicazione;1117;FQJO;150;1143
2010_01_14;pubblicazione;1395;ARRB;50;4231
2010_01_14;pubblicazione;1454;CERK;150;1409
2010_01_14;pubblicazione;1553;CGWH;90;6357
2010_01_14;pubblicazione;1651;EDNK;120;5957
2010_01_14;pubblicazione;1710;DQAA;100;5884
2010_01_14;pubblicazione;1769;BVPK;300;6044
2010_01_14;pubblicazione;1813;DAEP;300;5449
2010_01_14;pubblicazione;1993;BTJD;90;6234
2010_01_14;rimozione;637
2010_01_15;pubblicazione;6;ELHQ;90;1862
2010_01_15;pubblicazione;252;BBRT;90;6839
2010_01_15;pubblicazione;438;BSDS;100;1120
2010_01_15;pubblicazione;463;GEON;200;1187
2010_01_15;pubblicazione;853;BQIU;150;2711
2010_01_15;pubblicazione;860;DPKW;120;7617
2010_01_15;pubblicazione;1055;FILM;120;4969
2010_01_15;pubblicazione;1089;CIPK;90;7710
2010_01_15;pubblicazione;1232;GGSS;90;7851
2010_01_15;pubblicazione;1470;AKOP;120;4793
2010_01_15;pubblicazione;1487;DEYU;90;3518
2010_01_15;pubblicazione;1585;ELWW;120;2369
2010_01_15;pubblicazione;1682;CAVQ;300;1087
2010_01_15;rimozione;365
2010_01_16;pubblicazione;25;ELXT;300;3545
2010_01_16;pubblicazione;104;FOBK;150;8303
2010_01_16;pubblicazione;287;BYYV;180;1886
2010_01_16;pubblicazione;306;CPTD;180;7467
2010_01_16;pubblicazione;453;FWFT;120;8088
2010_01_16;pubblicazione;557;BOLG;100;6427
2010_01_16;pubblicazione;586;FLTI;150;1741
2010_01_16;pubblicazione;1141;DNMX;180;1352
2010_01_16;pubblicazione;1260;AQKG;50;8803
2010_01_16;pubblicazione;1294;AGYM;120;4013
2010_01_16;pubblicazione;1338;FVKN;200;1371
2010_01_16;pubblicazione;1456;FFOT;150;1725
2010_01_16;pubblicazione;1711;CDNB;120;9738
2010_01_16;pubblicazione;1776;EGAM;120;4267
2010_01_16;pubblicazione;1901;CMNC;200;7428
2010_01_16;rimozione;265
2010_01_17;pubblicazione;37;FOFA;120;9019
2010_01_17;pubblicazione;161;AXNN;120;6689
2010_01_17;pubblicazione;201;CBUD;90;2001
2010_01_17;pubblicazione;208;CEKM;200;1434
2010_01_17;pubblicazione;346;FHJR;90;7892
2010_01_17;pubblicazione;465;FPJE;180;5881
2010_01_17;pubblicazione;542;AJLA;200;2105
2010_01_17;pubblicazione;1002;GEDX;50;3962
2010_01_17;pubblicazione;1027;FGVM;300;3037
2010_01_17;pubblicazione;1206;DYSB;90;2617
2010_01_17;pubblicazione;1310;CNSJ;200;4085
2010_01_17;pubblicazione;1348;AMVO;200;4832
2010_01_17;pubblicazione;1386;EGWV;300;1368
2010_01_17;pubblicazione;1457;DNXW;50;3152
2010_01_17;pubblicazione;1501;FTIS;50;6474
2010_01_17;pubblicazione;1671;EJCB;50;8478
2010_01_17;pubblicazione;1680;FCKC;50;2343
2010_01_17;pubblicazione;1768;CUXH;200;8411
2010_01_17;pubblicazione;1774;FLQR;300;6311
2010_01_17;pubblicazione;1894;ABWN;300;7734
2010_01_17;pubblicazione;1928;ELXK;90;1790
2010_01_17;rimozione;765
2010_01_17;rimozione;1914
2010_01_18;pubblicazione;234;FNKG;90;3188
2010_01_18;pubblicazione;421;BVQX;150;2335
2010_01_18;pubblicazione;659;EFGB;150;9469
2010_01_18;pubblicazione;676;EDYM;90;3049
2010_01_18;pubblicazione;872;AFJL;200;6219
2010_01_18;pubblicazione;909;BIPN;200;6933
2010_01_18;pubblicazione;1025;GGOF;90;8470
2010_01_18;pubblicazione;1034;FSNX;100;4326
2010_01_18;pubblicazione;1091;BKTM;120;6816
2010_01_18;pubblicazione;1193;EJOW;300;2625
2010_01_18;pubblicazione;1938;EULR;100;6247
2010_01_18;rimozione;143
2010_01_18;rimozione;201
2010_01_18;rimozione;647
2010_01_18;rimozione;939
2010_01_19;pubblicazione;111;CCAH;180;8938
2010_01_19;pubblicazione;437;BVNI;150;4059
2010_01_19;pubblicazione;824;FSVI;150;4977
2010_01_19;pubblicazione;838;CXYI;200;1549
2010_01_19;pubblicazione;840;CBIP;120;4860
2010_01_19;pubblicazione;843;DBOQ;120;3915
2010_01_19;pubblicazione;882;APLK;90;7220
2010_01_19;pubblicazione;889;DYSA;90;5366
2010_01_19;pubblicazione;1054;FCWR;300;5131
2010_01_19;pubblicazione;1291;AQVS;180;1655
2010_01_19;pubblicazione;1409;BODY;50;6101
2010_01_19;pubblicazione;1432;BXIF;300;7149
2010_01_19;pubblicazione;1443;CHPI;90;5101
2010_01_19;pubblicazione;1696;FINB;120;6643
2010_01_19;pubblicazione;1925;AREE;50;1456
2010_01_19;rimozione;1355
2010_01_19;rimozione;1872
2010_01_20;pubblicazione;19;CUQU;150;7983
2010_01_20;pubblicazione;82;DBXG;200;5052
2010_01_20;pubblicazione;88;ESYX;100;4684
2010_01_20;pubblicazione;132;ATAA;120;1183
2010_01_20;pubblicazione;153;CVHT;120;1246
2010_01_20;pubblicazione;489;GDVI;120;6691
2010_01_20;pubblicazione;677;DQWM;120;2385
2010_01_20;pubblicazione;802;EKAV;200;8415
2010_01_20;pubblicazione;953;BXQB;180;7771
2010_01_20;pubblicazione;963;CVTS;120;9718
2010_01_20;pubblicazione;1258;DEVE;90;1777
2010_01_20;pubblicazione;1598;FOYW;50;6203
2010_01_20;pubblicazione;1641;EPQW;150;1558
2010_01_20;pubblicazione;1838;CVMY;90;1653
2010_01_20;rimozione;17
2010_01_20;rimozione;191
2010_01_20;rimozione;1338
2010_01_21;pubblicazione;263;BMOK;200;2944
2010_01_21;pubblicazione;406;AYGE;150;9480
2010_01_21;pubblicazione;653;CLXY;50;3315
2010_01_21;pubblicazione;870;FNWI;90;9794
2010_01_21;pubblicazione;970;BLLC;200;9549
2010_01_21;pubblicazione;1038;AWMN;200;1485
2010_01_21;pubblicazione;1041;DOOG;300;8266
2010_01_21;pubblicazione;1257;EUTU;120;3770
2010_01_21;pubblicazione;1261;BMBV;200;6664
2010_01_21;pubblicazione;1270;DBHJ;120;9489
2010_01_21;pubblicazione;1339;FMNC;300;6041
2010_01_21;pubblicazione;1644;BFAD;50;8139
2010_01_21;pubblicazione;1667;CSSQ;300;8384
2010_01_21;pubblicazione;1907;CIFL;180;4518
2010_01_21;rimozione;29
2010_01_22;pubblicazione;340;FFAT;150;4813
2010_01_22;pubblicazione;450;DAXP;50;1804
2010_01_22;pubblicazione;1279;CISK;180;1368
2010_01_22;pubblicazione;1510;ALSA;50;4288
2010_01_22;pubblicazione;1607;CLWR;180;5476
2010_01_22;pubblicazione;1668;DHIC;180;1196
2010_01_22;pubblicazione;1791;DYMW;50;5538
2010_01_22;pubblicazione;1836;FHSA;120;4645
2010_01_23;pubblicazione;70;ABDW;100;2836
2010_01_23;pubblicazione;218;EDKL;200;2781
2010_01_23;pubblicazione;451;FQIN;50;2939
2010_01_23;pubblicazione;687;DXXL;200;6300
2010_01_23;pubblicazione;744;EPRF;300;9466
2010_01_23;pubblicazione;753;EGMA;180;3143
2010_01_23;pubblicazione;1137;EFDA;180;5879
2010_01_23;pubblicazione;1171;AJTT;100;5828
2010_01_23;pubblicazione;1197;CRHE;200;6236
2010_01_23;pubblicazione;1616;FIKN;150;6817
2010_01_23;pubblicazione;1734;GJPH;120;2384
2010_01_23;pubblicazione;1736;EETK;90;1765
2010_01_23;pubblicazione;1739;EQUN;200;6508
2010_01_23;pubblicazione;1784;DTUE;50;7376
2010_01_23;pubblicazione;1898;CEES;200;5053
2010_01_23;rimozione;723
2010_01_23;rimozione;879
2010_01_23;rimozione;1025
2010_01_24;pubblicazione;121;AJBP;50;7052
2010_01_24;pubblicazione;164;AQIB;150;6339
2010_01_24;pubblicazione;202;CBTI;200;5718
2010_01_24;pubblicazione;219;DUPE;100;8710
2010_01_24;pubblicazione;386;DPTK;300;8025
2010_01_24;pubblicazione;474;BXWS;200;4514
2010_01_24;pubblicazione;594;DDVF;150;8893
2010_01_24;pubblicazione;619;FNGH;50;3975
2010_01_24;pubblicazione;829;EVHA;90;6368
2010_01_24;pubblicazione;862;DOUG;120;7850
2010_01_24;pubblicazione;1073;ENND;200;4090
2010_01_24;pubblicazione;1074;EKDS;150;4012
2010_01_24;pubblicazione;1581;EPSD;180;4748
2010_01_24;pubblicazione;1955;BGRW;200;2160
2010_01_24;pubblicazione;1967;AKDX;120;5583
2010_01_24;pubblicazione;1972;FXFK;120;7579
2010_01_24;rimozione;985
2010_01_25;pubblicazione;108;FPHS;150;8727
2010_01_25;pubblicazione;248;GBSG;90;9092
2010_01_25;pubblicazione;272;ECNI;90;8916
2010_01_25;pubblicazione;423;BSXB;300;8051
2010_01_25;pubblicazione;432;AJCS;300;6677
2010_01_25;pubblicazione;681;EYVS;90;9632
2010_01_25;pubblicazione;710;ACRP;150;2364
2010_01_25;pubblicazione;825;BVAK;200;5410
2010_01_25;pubblicazione;884;EEXE;300;4132
2010_01_25;pubblicazione;1071;CACX;50;6686
2010_01_25;pubblicazione;1269;ETRE;150;3843
2010_01_25;pubblicazione;1405;BYDV;90;6368
2010_01_25;pubblicazione;1521;BRDE;120;8022
2010_01_25;pubblicazione;1539;CNYT;50;4857
2010_01_25;pubblicazione;1576;FDHN;180;5193
2010_01_25;pubblicazione;1666;AIDX;200;8828
2010_01_25;pubblicazione;1808;BCID;150;7201
2010_01_25;pubblicazione;1973;DDXK;120;7413
2010_01_25;rimozione;406
2010_01_25;rimozione;425
2010_01_25;rimozione;616
2010_01_25;rimozione;1769
2010_01_26;pubblicazione;333;BJCN;50;8787
2010_01_26;pubblicazione;348;FPQV;100;2359
2010_01_26;pubblicazione;366;ETFY;50;5644
2010_01_26;pubblicazione;377;DGDV;150;2351
2010_01_26;pubblicazione;468;FBBE;120;5737
2010_01_26;pubblicazione;706;APKV;50;2772
2010_01_26;pubblicazione;907;FLTK;100;9145
2010_01_26;pubblicazione;1072;DYHJ;200;1593
2010_01_26;pubblicazione;1234;BCPJ;300;2509
2010_01_26;pubblicazione;1345;BKEW;50;9800
2010_01_26;pubblicazione;1388;CTWD;150;5860
2010_01_26;pubblicazione;1659;CLVQ;150;4672
2010_01_26;pubblicazione;1701;FPGR;180;2130
2010_01_26;pubblicazione;1832;BBKA;180;6439
2010_01_26;pubblicazione;1833;FQYO;200;9144
2010_01_26;pubblicazione;1859;ARSR;200;2002
2010_01_26;pubblicazione;1866;CRDB;300;4426
2010_01_27;pubblicazione;224;AGLP;150;9435
2010_01_27;pubblicazione;270;DWHK;150;2435
2010_01_27;pubblicazione;319;CAIG;300;7200
2010_01_27;pubblicazione;452;EWCL;90;5421
2010_01_27;pubblicazione;699;EIXW;150;1605
2010_01_27;pubblicazione;915;BXRB;100;9241
2010_01_27;pubblicazione;1107;DSNG;100;6342
2010_01_27;pubblicazione;1119;BHWR;50;9851
2010_01_27;pubblicazione;1392;CRVG;100;4135
2010_01_27;pubblicazione;1400;FEML;100;1143
2010_01_27;pubblicazione;1465;BOCD;90;2290
2010_01_27;pubblicazione;1495;BTRM;150;1766
2010_01_27;pubblicazione;1507;DWVH;50;1530
2010_01_27;pubblicazione;1564;BTCS;200;1272
2010_01_27;pubblicazione;1627;CQVH;50;7620
2010_01_27;pubblicazione;1721;AKXQ;100;8263
2010_01_27;rimozione;40
2010_01_27;rimozione;586
2010_01_27;rimozione;829
2010_01_27;rimozione;1996
2010_01_28;pubblicazione;3;EMHW;100;6314
2010_01_28;pubblicazione;44;FNYK;150;1918
2010_01_28;pubblicazione;608;FNYL;180;1355
2010_01_28;pubblicazione;834;CDIV;90;6630
2010_01_28;pubblicazione;964;EMAT;150;4358
2010_01_28;pubblicazione;1066;DKMA;180;8970
2010_01_28;pubblicazione;1076;EXOO;120;5649
2010_01_28;pubblicazione;1349;GHPT;120;7806
2010_01_28;pubblicazione;1353;AUMS;90;3217
2010_01_28;pubblicazione;1412;GHGK;300;7875
2010_01_28;pubblicazione;1466;AJWA;90;5735
2010_01_28;pubblicazione;1474;FCNA;300;3529
2010_01_28;pubblicazione;1822;AJHY;200;2313
2010_01_28;rimozione;674
2010_01_28;rimozione;1034
2010_01_28;rimozione;1901
2010_01_29;pubblicazione;84;DXXM;300;1345
2010_01_29;pubblicazione;261;DUUK;180;1492
2010_01_29;pubblicazione;331;EPOP;120;3555
2010_01_29;pubblicazione;368;ENVG;90;6552
2010_01_29;pubblicazione;444;CNUP;200;2124
2010_01_29;pubblicazione;629;ECXX;120;4540
2010_01_29;pubblicazione;917;FINT;50;3710
2010_01_29;pubblicazione;1138;COEG;150;2724
2010_01_29;pubblicazione;1280;AWUM;200;2794
2010_01_29;pubblicazione;1289;EQUJ;180;8043
2010_01_29;pubblicazione;1475;FIGA;200;4720
2010_01_29;pubblicazione;1740;DXDP;300;5995
2010_01_29;rimozione;19
2010_01_29;rimozione;1279
2010_01_30;pubblicazione;98;ESTD;300;8708
2010_01_30;pubblicazione;323;FAPT;180;1753
2010_01_30;pubblicazione;373;BEFP;90;8755
2010_01_30;pubblicazione;436;ESGR;90;3585
2010_01_30;pubblicazione;567;FDVE;200;6366
2010_01_30;pubblicazione;709;FUWX;120;9930
2010_01_30;pubblicazione;885;ASKE;300;5407
2010_01_30;pubblicazione;1192;DSBA;100;1945
2010_01_30;pubblicazione;1369;DKQJ;180;5453
2010_01_30;pubblicazione;1545;GBHA;180;9688
2010_01_30;pubblicazione;1624;FBBG;200;6531
2010_01_30;pubblicazione;1636;DBXM;90;6475
2010_01_30;rimozione;730
2010_01_30;rimozione;1572
2010_01_31;pubblicazione;41;ABBG;50;5583
2010_01_31;pubblicazione;256;DMHG;120;9091
2010_01_31;pubblicazione;344;AFYM;180;4881
2010_01_31;pubblicazione;623;AVLD;200;1768
2010_01_31;pubblicazione;719;BGPQ;300;6147
2010_01_31;pubblicazione;735;DDWF;120;7242
2010_01_31;pubblicazione;954;CFOR;100;8067
2010_01_31;pubblicazione;1086;ECUY;100;9015
2010_01_31;pubblicazione;1547;CAHX;150;6054
2010_01_31;pubblicazione;1727;BUFW;200;9576
2010_01_31;pubblicazione;1992;FXBG;150;3177
2010_02_01;pubblicazione;80;GGTL;200;6460
2010_02_01;pubblicazione;203;BOIO;50;3645
2010_02_01;pubblicazione;867;BOYL;50;9696
2010_02_01;pubblicazione;1010;AQHG;100;8499
2010_02_01;pubblicazione;1035;EMDT;180;5914
2010_02_01;pubblicazione;1059;FOXX;90;8132
2010_02_01;pubblicazione;1092;BIFU;200;5410
2010_02_01;pubblicazione;1106;ALQB;300;1743
2010_02_01;pubblicazione;1203;AGXH;200;4426
2010_02_01;pubblicazione;1242;DLUU;180;4352
2010_02_01;pubblicazione;1303;FPFF;150;8013
2010_02_01;pubblicazione;1567;AHSQ;150;9288
2010_02_01;pubblicazione;1648;ABAR;150;3161
2010_02_01;pubblicazione;1708;DGKK;100;8382
2010_02_01;pubblicazione;1719;GCEY;120;5265
2010_02_01;pubblicazione;1787;DTQH;90;8217
2010_02_01;pubblicazione;1854;FDOL;100;2215
2010_02_01;rimozione;1539
2010_02_01;rimozione;1762
2010_02_01;rimozione;1967
2010_02_02;catasto;613;CUQU;150;8302
2010_02_02;pubblicazione;45;EHIF;300;7248
2010_02_02;pubblicazione;113;EMQY;150;8554
2010_02_02;pubblicazione;289;CCGS;200;6448
2010_02_02;pubblicazione;777;ALRI;200;2787
2010_02_02;pubblicazione;780;FXTM;150;5090
2010_02_02;pubblicazione;788;DFVM;120;4752
