PMID	title	date	location	doi
15648061	Detection of human coronavirus NL63 in young children with bronchiolitis.	2005 Mar	United States	10.1002/jmv.20289
15647850	High-dose hydrocortisone reduces expression of the pro-inflammatory chemokinesCXCL8 and CXCL10 in SARS coronavirus-infected intestinal cells.	2005 Feb	Greece	
15645376	Susceptibility of different eukaryotic cell lines to SARS-coronavirus.	2005 May	Austria	10.1007/s00705-004-0461-1
15643439	SARS, Mars and chocolate bars.	2005 Jan	England	10.1038/sj.embor.7400326
15642998	Monoclonal antibody-based antigen capture enzyme-linked immunosorbent assayreveals high sensitivity of the nucleocapsid protein in acute-phase sera ofsevere acute respiratory syndrome patients.	2005 Jan	United States	10.1128/CDLI.12.1.135-140.2005
15642942	Evasion of antibody neutralization in emerging severe acute respiratory syndromecoronaviruses.	2005 Jan 18	United States	10.1073/pnas.0409065102
15642467	Prokaryotic expression, refolding, and purification of fragment 450-650 of thespike protein of SARS-coronavirus.	2005 Feb	United States	10.1016/j.pep.2004.10.004
15642409	Generation of predictive pharmacophore model for SARS-coronavirus mainproteinase.	2005 Jan	France	10.1016/j.ejmech.2004.09.013
15642263	Structure and intracellular targeting of the SARS-coronavirus Orf7a accessoryprotein.	2005 Jan	United States	10.1016/j.str.2004.10.010
15641679	Expression and purification of SARS coronavirus membrane protein.	2004	China	10.1007/bf02831095
15640862	[Potent neutralization antibody elicited in mice by SARS-associated coronavirusspike protein S1 domain].	2004 Sep	China	
15640861	[Development and preliminary application of monoclonal antibodies against Nprotein of SARS virus].	2004 Sep	China	
15640680	Severe acute respiratory syndrome and critical care medicine: the Torontoexperience.	2005 Jan	United States	10.1097/01.ccm.0000150954.88817.6
15640317	Duration of RT-PCR positivity in severe acute respiratory syndrome.	2005 Jan	England	10.1183/09031936.04.00057804
15638943	Dynamic changes of serum SARS-coronavirus IgG, pulmonary function and radiographyin patients recovering from SARS after hospital discharge.	2005 Jan 8	England	10.1186/1465-9921-6-5
15638835	Molecular genetic methods in the diagnosis of lower respiratory tract infections.	2004 Nov-Dec	Denmark	10.1111/j.1600-0463.2004.apm11211-1202.x
15638127	Arginine metabolism during macrophage autocrine activation and infection withmouse hepatitis virus 3.	2004	Netherlands	10.1016/j.imbio.2004.08.002
15636302	A large-volume nebulizer would not be an infectious source for severe acuterespiratory syndrome.	2004 Dec	United States	10.1086/502353
15636288	Rapid creation of a temporary isolation ward for patients with severe acuterespiratory syndrome in Taiwan.	2004 Dec	United States	10.1086/502339
15636287	Foundations of the severe acute respiratory syndrome preparedness and responseplan for healthcare facilities.	2004 Dec	United States	10.1086/502338
15631779	[Preparation of monoclonal antibodies against SARS coronavirus and staining usagein lung autopsy specimens].	2004 Nov 2	China	
15631748	[Detection of SARS-CoV and RNA on aerosol samples from SARS-patients admitted tohospital].	2004 Oct	China	
15631743	[Serological investigation on close contacts to patients with severe acuterespiratory syndrome in an SARS outbreak].	2004 Oct	China	
15631740	[Study on the response of specific antibodies against SARS-CoV in patientsinfected with SARS].	2004 Oct	China	
15631713	[A preliminary investigation on the serological and epidemiologicalcharacteristics of severe acute respiratory syndrome in children].	2004 Nov	China	
15631008	Inactivation of SARS coronavirus by means of povidone-iodine, physicalconditions, and chemical reagents.	2004 Nov	Japan	
15630477	The structure of a rigorously conserved RNA element within the SARS virus genome.	2005 Jan	United States	10.1371/journal.pbio.0030005
15629440	Immune responses with DNA vaccines encoded different gene fragments of severeacute respiratory syndrome coronavirus in BALB/c mice.	2005 Feb 4	United States	10.1016/j.bbrc.2004.11.147
15629083	[Preparation of specific monoclonal antibody against nucleocapsid protein of SARScoronavirus].	2005 Jan	China	
15629082	[Construction and screening of human phage antibody library against SARS virus].	2005 Jan	China	
15629054	Molecular advances in severe acute respiratory syndrome-associated coronavirus(SARS-CoV).	2003 Nov	China	10.1016/s1672-0229(03)01031-3
15629044	Preliminary study on the detection of the SARS-CoV specific target cDNA fragmentsby multiplex PCR.	2004 Feb	China	10.1016/s1672-0229(04)02008-x
15629035	Genome organization of the SARS-CoV.	2003 Aug	China	10.1016/s1672-0229(03)01028-3
15629034	Evolution and variation of the SARS-CoV genome.	2003 Aug	China	10.1016/s1672-0229(03)01027-1
15629033	A strategy for searching antigenic regions in the SARS-CoV spike protein.	2003 Aug	China	10.1016/s1672-0229(03)01026-x
15629032	The epitope study on the SARS-CoV nucleocapsid protein.	2003 Aug	China	10.1016/s1672-0229(03)01025-8
15629031	The C-terminal portion of the nucleocapsid protein demonstrates SARS-CoVantigenicity.	2003 Aug	China	10.1016/s1672-0229(03)01024-6
15629030	Complete genome sequences of the SARS-CoV: the BJ Group (Isolates BJ01-BJ04).	2003 Aug	China	10.1016/s1672-0229(03)01023-4
15628533	[Study on the stability of SARS coronavirus].	2004 Nov	Japan	10.11150/kansenshogakuzasshi1970.78.991
15626345	The R protein of SARS-CoV: analyses of structure and function based on fourcomplete genome sequences of isolates BJ01-BJ04.	2003 May	China	10.1016/s1672-0229(03)01019-2
15626344	The structure analysis and antigenicity study of the N protein of SARS-CoV.	2003 May	China	10.1016/s1672-0229(03)01018-0
15626343	The E protein is a multifunctional membrane protein of SARS-CoV.	2003 May	China	10.1016/s1672-0229(03)01017-9
15626342	The M protein of SARS-CoV: basic structural and immunological properties.	2003 May	China	10.1016/s1672-0229(03)01016-7
15626341	The structural characterization and antigenicity of the S protein of SARS-CoV.	2003 May	China	10.1016/s1672-0229(03)01015-5
15626340	A genome sequence of novel SARS-CoV isolates: the genotype, GD-Ins29, leads to ahypothesis of viral transmission in South China.	2003 May	China	10.1016/s1672-0229(03)01014-3
15625570	Assembling the SARS-CoV genome -- new method based on graph theoretical approach.	2004	Poland	045104983
15625153	Severe acute respiratory syndrome in pregnancy.	2005 Jan	United States	10.1097/01.AOG.0000151598.49129.de
15624464	[SARS].	2004 Nov 10	Japan	10.2169/naika.93.2309
15623008	Nurses and the control of infectious disease. Understanding epidemiology anddisease transmission is vital to nursing care.	2004 Nov	Canada	
15620403	Generation of a recombinant avian coronavirus infectious bronchitis virus usingtransient dominant selection.	2005 Feb	Netherlands	10.1016/j.jviromet.2004.09.017
15620395	RT-PCR-based dot blot hybridization for the detection and differentiation betweenporcine epidemic diarrhea virus and transmissible gastroenteritis virus in fecalsamples using a non-radioactive digoxigenin cDNA probe.	2005 Feb	Netherlands	10.1016/j.jviromet.2004.09.012
15617308	Clinical manifestations of two cases with severe acute respiratory syndrome(SARS) in I-Lan County.	2004 Sep	Netherlands	
15616839	Use of convalescent plasma therapy in SARS patients in Hong Kong.	2005 Jan	Germany	10.1007/s10096-004-1271-9
15613820	Effect of soluble porcine aminopeptidase N on antibody production against porcineepidemic diarrhea virus.	2004 Dec	Korea (South)	
15613703	Proteomics and severe acute respiratory syndrome (SARS): emerging technologymeets emerging pathogen.	2005 Jan	England	10.1373/clinchem.2004.041574
15613344	Mass spectroscopic characterization of the coronavirus infectious bronchitisvirus nucleoprotein and elucidation of the role of phosphorylation in RNA bindingby using surface plasmon resonance.	2005 Jan	United States	10.1128/JVI.79.2.1164-1179.2005
15613332	Natural history of a recurrent feline coronavirus infection and the role ofcellular immunity in survival and disease.	2005 Jan	United States	10.1128/JVI.79.2.1036-1044.2005
15613317	Characterization and complete genome sequence of a novel coronavirus, coronavirusHKU1, from patients with pneumonia.	2005 Jan	United States	10.1128/JVI.79.2.884-895.2005
15613297	A complex zinc finger controls the enzymatic activities of nidovirus helicases.	2005 Jan	United States	10.1128/JVI.79.2.696-704.2005
15613000	Avoidance of oxidative-stress perturbation in yeast bioprocesses by proteomic andgenomic biostrategies?	2005	England	10.1111/j.1472-765X.2004.01624.x
15609514	Development of mouse hepatitis virus and SARS-CoV infectious cDNA constructs.	2005	Germany	10.1007/3-540-26765-4_8
15609513	Reverse genetics of coronaviruses using vaccinia virus vectors.	2005	Germany	10.1007/3-540-26765-4_7
15609512	Coronavirus reverse genetics and development of vectors for gene expression.	2005	Germany	10.1007/3-540-26765-4_6
15609511	Coronavirus reverse genetics by targeted RNA recombination.	2005	Germany	10.1007/3-540-26765-4_5
15609510	Viral and cellular proteins involved in coronavirus replication.	2005	Germany	10.1007/3-540-26765-4_4
15609509	The coronavirus replicase.	2005	Germany	10.1007/3-540-26765-4_3
15609508	Coronavirus transcription: a perspective.	2005	Germany	10.1007/3-540-26765-4_2
15609507	Coronavirus genome structure and replication.	2005	Germany	10.1007/3-540-26765-4_1
15609228	Fatal severe acute respiratory syndrome is associated with multiorgan involvementby coronavirus.	2005 Jan 15	United States	10.1086/426870
15607755	Ribavirin and interferon-beta synergistically inhibit SARS-associated coronavirusreplication in animal and human cell lines.	2005 Jan 28	United States	10.1016/j.bbrc.2004.11.128
15607079	An ELISA optimized for porcine epidemic diarrhoea virus detection in faeces.	2005 Jan 5	Netherlands	10.1016/j.vetmic.2004.09.020
15606632	Chronological evolution of IgM, IgA, IgG and neutralisation antibodies afterinfection with SARS-associated coronavirus.	2004 Dec	England	10.1111/j.1469-0691.2004.01009.x
15604448	Severe acute respiratory syndrome coronavirus nucleocapsid protein expressed byan adenovirus vector is phosphorylated and immunogenic in mice.	2005 Jan	England	10.1099/vir.0.80530-0
15604146	Structure of a proteolytically resistant core from the severe acute respiratorysyndrome coronavirus S2 fusion protein.	2004 Dec 28	United States	10.1073/pnas.0406128102
15603894	Intranasal immunization with inactivated SARS-CoV (SARS-associated coronavirus)induced local and serum antibodies in mice.	2005 Jan 4	Netherlands	10.1016/j.vaccine.2004.07.031
15602743	Evaluation of a recombinant nucleocapsid protein-based assay for anti-SARS-CoVIgG detection.	2005 Feb	United States	10.1002/jmv.20254
15602737	An interferon-gamma-related cytokine storm in SARS patients.	2005 Feb	United States	10.1002/jmv.20255
15602736	Monoclonal antibodies versus reverse transcription-PCR for detection ofrespiratory viruses in a patient population with respiratory tract infectionsadmitted to hospital.	2005 Feb	United States	10.1002/jmv.20276
15596861	The ubiquitin-proteasome system facilitates the transfer of murine coronavirusfrom endosome to cytoplasm during virus entry.	2005 Jan	United States	10.1128/JVI.79.1.644-648.2005
15596843	Severe acute respiratory syndrome coronavirus infection of golden Syrianhamsters.	2005 Jan	United States	10.1128/JVI.79.1.503-511.2005
15596800	Expression of cellular oncogene Bcl-xL prevents coronavirus-induced cell deathand converts acute infection to persistent infection in progenitor ratoligodendrocytes.	2005 Jan	United States	10.1128/JVI.79.1.47-56.2005
15596135	Implication of proprotein convertases in the processing and spread of severeacute respiratory syndrome coronavirus.	2005 Jan 21	United States	10.1016/j.bbrc.2004.11.063
15592899	Reasoning of spike glycoproteins being more vulnerable to mutations among 158coronavirus proteins from different species.	2005 Feb	Germany	10.1007/s00894-004-0210-0
15585888	Induction of IL-8 release in lung cells via activator protein-1 by recombinantbaculovirus displaying severe acute respiratory syndrome-coronavirus spikeproteins: identification of two functional regions.	2004 Dec 15	United States	10.4049/jimmunol.173.12.7602
15585028	Heat sensitivity of a SARS-associated coronavirus introduced into plasmaproducts.	2004 Nov	England	10.1111/j.1423-0410.2004.00577.x
15583393	Crystallization and preliminary crystallographic analysis of the heptad-repeatcomplex of SARS coronavirus spike protein.	2004 Dec	United States	10.1107/S0907444904027258
15583332	False-positive results in a recombinant severe acute respiratorysyndrome-associated coronavirus (SARS-CoV) nucleocapsid enzyme-linkedimmunosorbent assay due to HCoV-OC43 and HCoV-229E rectified by Western blottingwith recombinant SARS-CoV spike polypeptide.	2004 Dec	United States	10.1128/JCM.42.12.5885-5888.2004
15582697	A novel cell-based binding assay system reconstituting interaction betweenSARS-CoV S protein and its cellular receptor.	2005 Jan	Netherlands	10.1016/j.jviromet.2004.09.008
15582659	Immune responses against SARS-coronavirus nucleocapsid protein induced by DNAvaccine.	2005 Jan 5	United States	10.1016/j.virol.2004.10.016
15577937	Severe acute respiratory syndrome.	2004 Dec	United States	10.1038/nm1143
15577575	Severe acute respiratory syndrome coronavirus pathogenesis, disease and vaccines:an update.	2004 Nov	United States	10.1097/01.inf.0000144666.95284.05
15576934	The cell cycle and virus infection.	2005	United States	10.1385/1-59259-857-9:197
15575793	Severe Acute Respiratory Syndrome and sport: facts and fallacies.	2004	New Zealand	10.2165/00007256-200434150-00002
15572443	Plasma proteome of severe acute respiratory syndrome analyzed by two-dimensionalgel electrophoresis and mass spectrometry.	2004 Dec 7	United States	10.1073/pnas.0407992101
15571170	Severe acute respiratory syndrome (SARS): over 100 days into the outbreak.	2003 Jun 27	Switzerland	
15569493	Anti-SARS virus antibody responses against human SARS-associated coronavirus andanimal SARS-associated coronavirus-like virus.	2004 Nov	China	
15569476	Humoral immune responses in rabbits induced by an experimental inactivated severeacute respiratory syndrome coronavirus vaccine prepared from F69 strain.	2004 Nov	China	
15569426	[Dynamic changes of immunoglobulin G in convalescents who have suffered fromsevere acute respiratory syndrome patients].	2004 Oct 17	China	
15567766	[Oligonucleotide microarray preparation using enhanced poly-L-lysine glassslides].	2004 Nov	China	
15567038	SARS-coronavirus replication in human peripheral monocytes/macrophages.	2005 Jan	Netherlands	10.1016/j.virusres.2004.09.004
15566280	Synthesis and evaluation of keto-glutamine analogues as potent inhibitors ofsevere acute respiratory syndrome 3CLpro.	2004 Dec 2	United States	10.1021/jm0494873
15565739	Strategies adopted and lessons learnt during the severe acute respiratorysyndrome crisis in Singapore.	2005 Jan-Feb	England	10.1002/rmv.458
15564515	Genetic screen for monitoring severe acute respiratory syndrome coronavirus3C-like protease.	2004 Dec	United States	10.1128/JVI.78.24.14057-14061.2004
15564512	Overexpression of 7a, a protein specifically encoded by the severe acuterespiratory syndrome coronavirus, induces apoptosis via a caspase-dependentpathway.	2004 Dec	United States	10.1128/JVI.78.24.14043-14047.2004
15564488	Recombinant infectious bronchitis coronavirus Beaudette with the spike proteingene of the pathogenic M41 strain remains attenuated but induces protectiveimmunity.	2004 Dec	United States	10.1128/JVI.78.24.13804-13811.2004
15564471	Identification of severe acute respiratory syndrome coronavirus replicaseproducts and characterization of papain-like protease activity.	2004 Dec	United States	10.1128/JVI.78.24.13600-13612.2004
15563120	[Epidemiological perspectives on SARS and avian influenza].	2004	Spain	
15563119	[Severe acute respiratory syndrome and avian flu].	2004	Spain	
15561995	Systematic analysis of bicistronic reporter assay data.	2004 Nov 23	England	10.1093/nar/gnh157
15561228	Impact of severe acute respiratory syndrome on liver transplantation service.	2004 Oct	United States	10.1016/j.transproceed.2004.08.018
15560976	Modified vaccinia virus Ankara as antigen delivery system: how can we best useits potential?	2004 Dec	England	10.1016/j.copbio.2004.09.001
15560695	Early containment of severe acute respiratory syndrome (SARS); experience fromBamrasnaradura Institute, Thailand.	2004 Oct	Thailand	
15558186	Gene expression in IFN-gamma-activated murine macrophages.	2004 Dec	Brazil	10.1590/s0100-879x2004001200005
15557587	Initial viral load and the outcomes of SARS.	2004 Nov 23	Canada	10.1503/cmaj.1040398
15555823	Epidemiology and etiology of community-acquired pneumonia.	2004 Dec	United States	10.1016/j.idc.2004.08.003
15555555	Prediction of quaternary assembly of SARS coronavirus peplomer.	2004 Dec 24	United States	10.1016/j.bbrc.2004.10.156
15554703	Quaternary structure of the severe acute respiratory syndrome (SARS) coronavirusmain protease.	2004 Nov 30	United States	10.1021/bi0490237
15554527	[SARS: diagnosis, therapy, and especially prevention].	2004 Jan-Apr	Italy	
15554322	[Coronavirus infection in immunodeficient patients with hemoblastosis anddeficient hemopoesis].	2004 Sep-Oct	Russia (Federation)	
15550479	Proteomic fingerprints for potential application to early diagnosis of severeacute respiratory syndrome.	2005 Jan	England	10.1373/clinchem.2004.032458
15550204	Nucleocapsid protein as early diagnostic marker for SARS.	2004 Nov	United States	10.3201/eid1011.040516
15550199	Topographic changes in SARS coronavirus-infected cells at late stages ofinfection.	2004 Nov	United States	10.3201/eid1011.040195
15549175	Angiotensin-converting enzyme 2: a functional receptor for SARS coronavirus.	2004 Nov	Switzerland	10.1007/s00018-004-4242-5
15549171	Angiotensin-converting enzyme-2: a molecular and cellular perspective.	2004 Nov	Switzerland	10.1007/s00018-004-4240-7
15548333	Genome structure and transcriptional regulation of human coronavirus NL63.	2004 Nov 17	England	10.1186/1743-422X-1-7
15545861	Coronaviruses: from common colds to severe acute respiratory syndrome.	2004 Nov	United States	10.1097/01.inf.0000145815.70485.f7
15545854	Viral etiology of acute respiratory tract infections in children presenting tohospital: role of polymerase chain reaction and demonstration of multipleinfections.	2004 Nov	United States	10.1097/01.inf.0000143648.04673.6c
15543523	Antisense downregulation of SARS-CoV gene expression in Vero E6 cells.	2005 Jan	England	10.1002/jgm.640
15542667	SYNCRIP, a member of the heterogeneous nuclear ribonucleoprotein family, isinvolved in mouse hepatitis virus RNA synthesis.	2004 Dec	United States	10.1128/JVI.78.23.13153-13162.2004
15539525	Specific immunoglobulin g antibody detected in umbilical blood and amniotic fluidfrom a pregnant woman infected by the coronavirus associated with severe acuterespiratory syndrome.	2004 Nov	United States	10.1128/CDLI.11.6.1182-1184.2004
15539520	Use of viral lysate antigen combined with recombinant protein in Westernimmunoblot assay as confirmatory test for serodiagnosis of severe acuterespiratory syndrome.	2004 Nov	United States	10.1128/CDLI.11.6.1148-1153.2004
15535903	[A preliminary report of SARS coronavirus specific RNA in SARS convalescents andmedical person].	2004 Nov	China	
15535901	[Comparison of serum biochemical features between SARS and other viralpneumonias].	2004 Nov	China	
15535899	[Effect of SARS-associated coronavirus on peripheral blood picture and liverfunction].	2004 Nov	China	
15535597	Limited transmission of turkey coronavirus in young turkeys by adult Alphitobiusdiaperinus (Coleoptera: Tenebrionidae).	2000 May	England	10.1093/jmedent/37.3.480
15534914	High-yield expression of recombinant SARS coronavirus nucleocapsid protein inmethylotrophic yeast Pichia pastoris.	2004 Dec 15	United States	10.3748/wjg.v10.i24.3602
15534177	Neuromuscular disorders in severe acute respiratory syndrome.	2004 Nov	United States	10.1001/archneur.61.11.1669
15531959	A study on SARS awareness and health-seeking behaviour - findings from a sampledpopulation attending National Healthcare Group Polyclinics.	2004 Sep	Singapore	
15531254	SARS: future research and vaccine.	2004 Dec	England	10.1016/j.prrv.2004.07.005
15531252	Post-SARS infection control in the hospital and clinic.	2004 Dec	England	10.1016/j.prrv.2004.07.006
15531251	Clinical picture, diagnosis, treatment and outcome of severe acute respiratorysyndrome (SARS) in children.	2004 Dec	England	10.1016/j.prrv.2004.07.010
15531250	Epidemiology of severe acute respiratory syndrome (SARS): adults and children.	2004 Dec	England	10.1016/j.prrv.2004.07.011
15531249	The chronology of the 2002-2003 SARS mini pandemic.	2004 Dec	England	10.1016/j.prrv.2004.07.009
15530413	Inactivated SARS-CoV vaccine elicits high titers of spike protein-specificantibodies that block receptor binding and virus entry.	2004 Dec 10	United States	10.1016/j.bbrc.2004.10.052
15529987	Identification of a novel nephropathogenic infectious bronchitis virus in Israel.	2004 Sep	United States	10.1637/7107
15529980	S1 and N gene analysis of avian infectious bronchitis viruses in Taiwan.	2004 Sep	United States	10.1637/7186-033004R
15529975	Development of a multiplex reverse transcription-polymerase chain reactiondiagnostic test specific for turkey astrovirus and coronavirus.	2004 Sep	United States	10.1637/7128
15528730	Mapping of antigenic sites on the nucleocapsid protein of the severe acuterespiratory syndrome coronavirus.	2004 Nov	United States	10.1128/JCM.42.11.5309-5314.2004
15528365	Differential regulation of primary and secondary CD8+ T cells in the centralnervous system.	2004 Nov 15	United States	10.4049/jimmunol.173.10.6265
15527857	SARS coronavirus E protein forms cation-selective ion channels.	2004 Dec 5	United States	10.1016/j.virol.2004.09.033
15527829	Replication of SARS coronavirus administered into the respiratory tract ofAfrican Green, rhesus and cynomolgus monkeys.	2004 Dec 5	United States	10.1016/j.virol.2004.09.030
15527783	Tyrosine dephosphorylation of STAT3 in SARS coronavirus-infected Vero E6 cells.	2004 Nov 5	England	10.1016/j.febslet.2004.10.005
15527778	Evolutional insights on uncharacterized SARS coronavirus genes.	2004 Nov 5	England	10.1016/j.febslet.2004.09.076
15526150	The SARS-CoV S glycoprotein.	2004 Oct	Switzerland	10.1007/s00018-004-4257-y
15525364	Canine coronavirus infection in Turkish dog population.	2004 Sep	Germany	10.1111/j.1439-0450.2004.00773.x
15523835	Cloning, expression, and purification of the nucleocapsid protein of SARScoronavirus.	2004 Jul-Aug	Russia (Federation)	10.1023/b:dobi.0000039473.88598.16
15523245	[Human metapneumovirus pneumonia in an adult patient hospitalized for suspectedsevere acute respiratory syndrome (SARS)].	2004 Sep 11	France	10.1016/s0755-4982(04)98824-0
15522683	Seasonality of infectious diseases and severe acute respiratory syndrome-what wedon't know can hurt us.	2004 Nov	United States	10.1016/S1473-3099(04)01177-6
15522679	Epidemiological and genetic analysis of severe acute respiratory syndrome.	2004 Nov	United States	10.1016/S1473-3099(04)01173-9
