PMID	title	date	location	doi
20949131	Profiling of substrate specificity of SARS-CoV 3CL.	2010 Oct 6	United States	10.1371/journal.pone.0013197
20947359	Synthesis and evaluation of pyrazolone compounds as SARS-coronavirus 3C-likeprotease inhibitors.	2010 Nov 15	England	10.1016/j.bmc.2010.09.050
20943891	Genetic analysis of murine hepatitis virus non-structural protein 16.	2011 Jan	England	10.1099/vir.0.026781-0
20943876	Prevalence of antibodies to four human coronaviruses is lower in nasal secretionsthan in serum.	2010 Dec	United States	10.1128/CVI.00278-10
20942082	[SARS coronavirus].	2010 Jun	Japan	
20942081	[Corona virus].	2010 Jun	Japan	
20938453	Identifying genetic markers of adaptation for surveillance of viral host jumps.	2010 Nov	England	10.1038/nrmicro2440
20934345	Biflavonoids from Torreya nucifera displaying SARS-CoV 3CL(pro) inhibition.	2010 Nov 15	England	10.1016/j.bmc.2010.09.035
20926700	Development, characterization, and application of monoclonal antibodies againstsevere acute respiratory syndrome coronavirus nucleocapsid protein.	2010 Dec	United States	10.1128/CVI.00293-10
20926577	Metagenomic analysis of the viromes of three North American bat species: viraldiversity among different bat species that share a common habitat.	2010 Dec	United States	10.1128/JVI.01255-10
20926566	Efficient activation of the severe acute respiratory syndrome coronavirus spikeprotein by the transmembrane protease TMPRSS2.	2010 Dec	United States	10.1128/JVI.01542-10
20926558	Evolved variants of the membrane protein can partially replace the envelopeprotein in murine coronavirus assembly.	2010 Dec	United States	10.1128/JVI.01850-10
20923611	Evaluation of droplet dispersion during non-invasive ventilation, oxygen therapy,nebuliser treatment and chest physiotherapy in clinical practice: implicationsfor management of pandemic influenza and other airborne infections.	2010 Oct	England	10.3310/hta14460-02
20920119	Respiratory health issues in the Asia-Pacific region: an overview.	2011 Jan	Australia	10.1111/j.1440-1843.2010.01844.x
20919748	Anti-infectious bronchitis virus (IBV) activity of 1,8-cineole: effect onnucleocapsid (N) protein.	2010 Dec	England	10.1080/07391102.2010.10507362
20883165	Immunogenicity and protective efficacy in mice and hamsters of abeta-propiolactone inactivated whole virus SARS-CoV vaccine.	2010 Oct	United States	10.1089/vim.2010.0028
20883160	Porcine reproductive and respiratory syndrome virus-induced immunosuppressionexacerbates the inflammatory response to porcine respiratory coronavirus in pigs.	2010 Oct	United States	10.1089/vim.2010.0051
20883159	Progress towards a SARS vaccine.	2010 Oct	United States	10.1089/vim.2010.ed.23.5
20882317	Development of a porcine epidemic diarrhea virus M protein-based ELISA for virusdetection.	2011 Feb	Netherlands	10.1007/s10529-010-0420-8
20880639	Detection and characterization of bovine-like coronaviruses from four species ofzoo ruminants.	2011 Mar 24	Netherlands	10.1016/j.vetmic.2010.08.035
20864747	Association of a single nucleotide polymorphism in the CD209 (DC-SIGN) promoterwith SARS severity.	2010	China	
20864746	Simultaneous detection of SARS coronavirus and influenza A viruses usingreal-time polymerase chain reaction.	2010	China	
20864745	Immunogenetics in SARS: a case-control study.	2010	China	
20864743	The role of SARS-CoV protein, ORF-6, in the induction of host cell death.	2010	China	
20876353	Enhanced antiviral T cell function in the absence of B7-H1 is insufficient toprevent persistence but exacerbates axonal bystander damage during viralencephalomyelitis.	2010 Nov 1	United States	10.4049/jimmunol.1001984
20863409	Identification of NCAM that interacts with the PHE-CoV spike protein.	2010 Sep 24	England	10.1186/1743-422X-7-254
20861307	The SARS coronavirus E protein interacts with PALS1 and alters tight junctionformation and epithelial morphogenesis.	2010 Nov 15	United States	10.1091/mbc.E10-04-0338
20861244	Proteasome inhibition in vivo promotes survival in a lethal murine model ofsevere acute respiratory syndrome.	2010 Dec	United States	10.1128/JVI.01219-10
20854844	Antiseptic properties of two calix[4]arenes derivatives on the human coronavirus229E.	2010 Dec	Netherlands	10.1016/j.antiviral.2010.09.009
20854299	Application of high-resolution melt curve analysis for classification ofinfectious bronchitis viruses in field specimens.	2010 Oct	England	10.1111/j.1751-0813.2010.00622.x
20850939	Protective immune responses induced by in ovo immunization with recombinantadenoviruses expressing spike (S1) glycoprotein of infectious bronchitis virusfused/co-administered with granulocyte-macrophage colony stimulating factor.	2011 Feb 24	Netherlands	10.1016/j.vetmic.2010.08.003
20844944	Molecular analysis of infectious bronchitis viruses isolated in Slovenia between1990 and 2005: a retrospective study.	2010 Dec	United States	10.1007/s11262-010-0528-x
20844609	Dendritic cell-specific antigen delivery by coronavirus vaccine vectors induceslong-lasting protective antiviral and antitumor immunity.	2010 Sep 14	United States	10.1128/mBio.00171-10
20844028	Novel immunodominant peptide presentation strategy: a featuredHLA-A*2402-restricted cytotoxic T-lymphocyte epitope stabilized by intrachainhydrogen bonds from severe acute respiratory syndrome coronavirus nucleocapsidprotein.	2010 Nov	United States	10.1128/JVI.01464-10
20836389	[The research and application of inhibitory effect of RNA-based strategies onSARS].	2010 Jul	China	
20836383	[Consecutive five-year follow-up analysis of specific IgG antibody of 22 cases ofSARS patients after recovery].	2010 Jul	China	
20833270	A 15-year analysis of molecular epidemiology of avian infectious bronchitiscoronavirus in China.	2011 Jan	Netherlands	10.1016/j.meegid.2010.09.002
20832407	Impaired immune responses following spinal cord injury lead to reduced ability tocontrol viral infection.	2010 Nov	United States	10.1016/j.expneurol.2010.08.036
20831383	The membrane protein of severe acute respiratory syndrome coronavirus acts as adominant immunogen revealed by a clustering region of novel functionally andstructurally defined cytotoxic T-lymphocyte epitopes.	2010 Oct 15	United States	10.1086/656315
20827775	Use of a multiplex PCR/RT-PCR approach to assess the viral causes ofinfluenza-like illnesses in Cambodia during three consecutive dry seasons.	2010 Oct	United States	10.1002/jmv.21891
20827733	Elucidation of the avian nucleolar proteome by quantitative proteomics usingSILAC and changes in cells infected with the coronavirus infectious bronchitisvirus.	2010 Oct	Germany	10.1002/pmic.201000139
20827493	Enhanced cell fusion activity in porcine epidemic diarrhea virus adapted tosuckling mice.	2010 Dec	Austria	10.1007/s00705-010-0790-1
20823091	The many paths to frameshifting: kinetic modelling and analysis of the effects ofdifferent elongation steps on programmed -1 ribosomal frameshifting.	2011 Jan	England	10.1093/nar/gkq761
20822531	VIGOR, an annotation program for small viral genomes.	2010 Sep 7	England	10.1186/1471-2105-11-451
20821824	Antioxidative and antiviral properties of flowering cherry fruits (Prunusserrulata L. var. spontanea).	2010	Singapore	10.1142/S0192415X10008366
20818755	A graphene-based platform for the assay of duplex-DNA unwinding by helicase.	2010 Aug 2	Germany	10.1002/anie.201001332
20809484	Generating stable Chinese hamster ovary cell clones to produce a truncatedSARS-CoV spike protein for vaccine development.	2010 Nov-Dec	United States	10.1002/btpr.480
20801001	Update on SARS research and other possibly zoonotic coronaviruses.	2010 Nov	Netherlands	10.1016/j.ijantimicag.2010.06.016
20800627	SARS-coronavirus protein 6 conformations required to impede protein import intothe nucleus.	2010 Nov	Netherlands	10.1016/j.virusres.2010.08.017
20799985	Detection of swine transmissible gastroenteritis coronavirus using loop-mediatedisothermal amplification.	2010 Aug 29	England	10.1186/1743-422X-7-206
20799142	The American Society for Virology--29th Annual Meeting.	2010 Sep	England	
20798771	Diagnostic methods for feline coronavirus: a review.	2010 Jul 28	United States	10.4061/2010/809480
20739537	Murine coronavirus receptors are differentially expressed in the central nervoussystem and play virus strain-dependent roles in neuronal spread.	2010 Nov	United States	10.1128/JVI.02688-09
20739524	The coronavirus nucleocapsid protein is dynamically associated with thereplication-transcription complexes.	2010 Nov	United States	10.1128/JVI.00569-10
20739481	Rapid detection of respiratory tract viral infections and coinfections inpatients with influenza-like illnesses by use of reverse transcription-PCR DNAmicroarray systems.	2010 Nov	United States	10.1128/JCM.00733-10
20732411	Visual detection of turkey coronavirus RNA in tissues and feces byreverse-transcription loop-mediated isothermal amplification (RT-LAMP) withhydroxynaphthol blue dye.	2010 Dec	England	10.1016/j.mcp.2010.08.003
20727913	Identification of phenanthroindolizines and phenanthroquinolizidines as novelpotent anti-coronaviral agents for porcine enteropathogenic coronavirustransmissible gastroenteritis virus and human severe acute respiratory syndromecoronavirus.	2010 Nov	Netherlands	10.1016/j.antiviral.2010.08.009
20727693	Impact of porcine epidemic diarrhea virus infection at different periods ofpregnancy on subsequent reproductive performance in gilts and sows.	2010 Oct	Netherlands	10.1016/j.anireprosci.2010.07.004
20723564	Multiplex semi-nested RT-PCR with exogenous internal control for simultaneousdetection of bovine coronavirus and group A rotavirus.	2010 Nov	Netherlands	10.1016/j.jviromet.2010.08.008
20720471	Role of human coronavirus NL63 in hospitalized children with croup.	2010 Sep	United States	10.1097/INF.0b013e3181e7c18d
20719951	Culturing the unculturable: human coronavirus HKU1 infects, replicates, andproduces progeny virions in human ciliated airway epithelial cell cultures.	2010 Nov	United States	10.1128/JVI.00947-10
20719948	A conserved domain in the coronavirus membrane protein tail is important forvirus assembly.	2010 Nov	United States	10.1128/JVI.01131-10
20715993	Production and characterization of a monoclonal antibody against spike protein oftransmissible gastroenteritis virus.	2010 Aug	United States	10.1089/hyb.2010.0009
20714750	Cryptosporidium infection in herds with and without calf diarrhoeal problems.	2010 Nov	Germany	10.1007/s00436-010-2020-x
20713325	Microbiological and pathological examination of fatal calf pneumonia casesinduced by bacterial and viral respiratory pathogens.	2010 Sep	Hungary	10.1556/AVet.58.2010.3.7
20712488	Characterization of a variant virus from ascitic fluid of subacute granulomatousserositis in interferon-gamma-deficient C57BL/6 mice persistently infected withmurine coronavirus strain JHM.	2010 Aug	United States	10.1089/vim.2010.0008
20710051	Medicinal herbal extracts of Sophorae radix, Acanthopanacis cortex, Sanguisorbaeradix and Torilis fructus inhibit coronavirus replication in vitro.	2010	England	10.3851/IMP1615
20709084	NMR Structure of the SARS-CoV Nonstructural Protein 7 in Solution at pH 6.5.	2010 Oct 1	England	10.1016/j.jmb.2010.07.043
20709007	CD8+ T cell response in HLA-A*0201 transgenic mice is elicited by epitopes fromSARS-CoV S protein.	2010 Sep 24	Netherlands	10.1016/j.vaccine.2010.08.013
20708597	ORF8a of SARS-CoV forms an ion channel: experiments and molecular dynamicssimulations.	2011 Feb	Netherlands	10.1016/j.bbamem.2010.08.004
20702646	Coexistence of different genotypes in the same bat and serologicalcharacterization of Rousettus bat coronavirus HKU9 belonging to a novelBetacoronavirus subgroup.	2010 Nov	United States	10.1128/JVI.01121-10
20702617	Transcriptomic analysis reveals a mechanism for a prefibrotic phenotype in STAT1knockout mice during severe acute respiratory syndrome coronavirus infection.	2010 Nov	United States	10.1128/JVI.01130-10
20700397	Understanding Human Coronavirus HCoV-NL63.	2010 May 25	United Arab Emirates	10.2174/1874357901004010076
20699222	Molecular mapping of the RNA Cap 2'-O-methyltransferase activation interfacebetween severe acute respiratory syndrome coronavirus nsp10 and nsp16.	2010 Oct 22	United States	10.1074/jbc.M110.120014
20693503	Risk factors for seropositivity to bovine coronavirus and bovine respiratorysyncytial virus in dairy herds.	2010 Aug 7	England	10.1136/vr.c4119
20693502	Epidemiology of canine parvovirus and coronavirus in dogs presented with severediarrhoea to PDSA PetAid hospitals.	2010 Aug 7	England	10.1136/vr.c3095
20691214	Loop-mediated isothermal amplification for rapid detection and differentiation ofwild-type pseudorabies and gene-deleted virus vaccines.	2010 Oct	Netherlands	10.1016/j.jviromet.2010.07.034
20688082	New method for comparing DNA primary sequences based on a discrimination measure.	2010 Oct 21	England	10.1016/j.jtbi.2010.07.040
20686038	Genomic characterization of severe acute respiratory syndrome-related coronavirusin European bats and classification of coronaviruses based on partialRNA-dependent RNA polymerase gene sequences.	2010 Nov	United States	10.1128/JVI.00650-10
20682435	Ferret coronavirus-associated diseases.	2010 Sep	United States	10.1016/j.cvex.2010.05.010
20678314	Bat coronaviruses and experimental infection of bats, the Philippines.	2010 Aug	United States	10.3201/eid1608.100208
20677175	Forsythoside a inhibits the avian infectious bronchitis virus in cell culture.	2011 Mar	England	10.1002/ptr.3260
20674797	Occupation-related respiratory infections revisited.	2010 Sep	United States	10.1016/j.idc.2010.04.013
20674795	Severe acute respiratory syndrome and coronavirus.	2010 Sep	United States	10.1016/j.idc.2010.04.009
21994708	Coronavirus genomics and bioinformatics analysis.	2010 Aug	Switzerland	10.3390/v2081803
20671029	Cooperative translocation enhances the unwinding of duplex DNA by SARScoronavirus helicase nsP13.	2010 Nov	England	10.1093/nar/gkq647
20668092	Papain-like protease 1 from transmissible gastroenteritis virus: crystalstructure and enzymatic activity toward viral and cellular substrates.	2010 Oct	United States	10.1128/JVI.00898-10
20668085	A new cistron in the murine hepatitis virus replicase gene.	2010 Oct	United States	10.1128/JVI.00901-10
20667598	SARS spike protein induces phenotypic conversion of human B cells tomacrophage-like cells.	2010 Oct	England	10.1016/j.molimm.2010.06.014
20664013	Studies of severe acute respiratory syndrome coronavirus pathology in human casesand animal models.	2010 Sep	United States	10.1177/0300985810378760
20663472	Pathogenic characteristics of persistent feline enteric coronavirus infection incats.	2010 Sep-Oct	England	10.1051/vetres/2010043
20663197	Mixed infections with Chlamydia and porcine epidemic diarrhea virus - a new invitro model of chlamydial persistence.	2010 Jul 27	England	10.1186/1471-2180-10-201
20662367	Detection of a respiratory coronavirus from tissues archived during a pneumoniaepizootic in free-ranging Pacific harbor seals Phoca vitulina richardsii.	2010 Jun 11	Germany	10.3354/dao02190
20660183	An interaction between the nucleocapsid protein and a component of thereplicase-transcriptase complex is crucial for the infectivity of coronavirusgenomic RNA.	2010 Oct	United States	10.1128/JVI.01287-10
20652731	Complete genome sequence and recombination analysis of infectious bronchitisvirus attenuated vaccine strain H120.	2010 Dec	United States	10.1007/s11262-010-0517-0
20644980	Sequential nearest-neighbor effects on computed 13Calpha chemical shifts.	2010 Sep	Netherlands	10.1007/s10858-010-9435-7
20643168	Binding characterization of determinants in porcine aminopeptidase N, thecellular receptor for transmissible gastroenteritis virus.	2010 Oct 1	Netherlands	10.1016/j.jbiotec.2010.07.019
20642316	Mutations in the spike glycoprotein of human coronavirus OC43 modulate disease inBALB/c mice from encephalitis to flaccid paralysis and demyelination.	2010 Jul	United States	10.3109/13550284.2010.497806
20637243	Influenza virus variation in susceptibility to inactivation by pomegranatepolyphenols is determined by envelope glycoproteins.	2010 Oct	Netherlands	10.1016/j.antiviral.2010.06.014
20634513	Detection of infectious bronchitis virus strain N1/88 from the oviduct and fecesof experimentally infected vaccinated and unvaccinated hens.	2010 Aug	England	10.3382/ps.2010-00685
20634077	A simple procedure for the derivation of electron density based surfaces ofdrug-receptor complexes from a combination of X-ray data and theoreticalcalculations.	2010 Aug 15	England	10.1016/j.bmc.2010.06.080
20631137	Genetic determinants of mouse hepatitis virus strain 1 pneumovirulence.	2010 Sep	United States	10.1128/JVI.00330-10
20631126	The 7a accessory protein of severe acute respiratory syndrome coronavirus acts asan RNA silencing suppressor.	2010 Oct	United States	10.1128/JVI.00748-10
20629888	Detecting food- and waterborne viruses by surface-enhanced Raman spectroscopy.	2010 Jun	United States	10.1111/j.1750-3841.2010.01619.x
20627924	Detection of respiratory viruses and the associated chemokine responses inserious acute respiratory illness.	2010 Jul	England	10.1136/thx.2009.132480
20627412	Cell replacement therapies to promote remyelination in a viral model ofdemyelination.	2010 Jul 27	Netherlands	10.1016/j.jneuroim.2010.05.013
20623187	Putative probiotic Lactobacillus spp. from porcine gastrointestinal tract inhibittransmissible gastroenteritis coronavirus and enteric bacterial pathogens.	2010 Dec	United States	10.1007/s11250-010-9648-5
20622219	Development of a panel of multiplex real-time polymerase chain reaction assaysfor simultaneous detection of major agents causing calf diarrhea in feces.	2010 Jul	United States	10.1177/104063871002200403
20619189	Bovine respiratory coronavirus.	2010 Jul	United States	10.1016/j.cvfa.2010.04.005
20610717	T cell responses are required for protection from clinical disease and for virusclearance in severe acute respiratory syndrome coronavirus-infected mice.	2010 Sep	United States	10.1128/JVI.01049-10
20609418	Nsp1 proteins of group I and SARS coronaviruses share structural and functionalsimilarities.	2010 Oct	Netherlands	10.1016/j.meegid.2010.05.014
20608535	Molecular epidemiology of avian infectious bronchitis in Brazil from 2007 to 2008in breeders, broilers, and layers.	2010 Jun	United States	10.1637/9218-121709-Reg.1
20608523	Host intraspatial selection of infectious bronchitis virus populations.	2010 Jun	United States	10.1637/9054-090809-Reg.1
20606281	Crystallization and preliminary X-ray diffraction analysis of the N-terminaldomain of human coronavirus OC43 nucleocapsid protein.	2010 Jul 1	England	10.1107/S1744309110017616
20603153	Synergistic antiviral effect of Galanthus nivalis agglutinin and nelfinaviragainst feline coronavirus.	2010 Oct	Netherlands	10.1016/j.antiviral.2010.06.010
20602243	Analysis of Newcastle disease virus quasispecies and factors affecting theemergence of virulent virus.	2010 Oct	Austria	10.1007/s00705-010-0739-4
20600388	Vectored vaccines to protect against PRRSV.	2010 Dec	Netherlands	10.1016/j.virusres.2010.06.017
20599443	Trilogy of ACE2: a peptidase in the renin-angiotensin system, a SARS receptor,and a partner for amino acid transporters.	2010 Oct	England	10.1016/j.pharmthera.2010.06.003
20596532	CXCR2 signaling protects oligodendrocytes and restricts demyelination in a mousemodel of viral-induced demyelination.	2010 Jun 28	United States	10.1371/journal.pone.0011340
20587646	Essential covalent linkage between the chymotrypsin-like domain and the extradomain of the SARS-CoV main protease.	2010 Sep	England	10.1093/jb/mvq071
24031559	Differentiation of bovine coronavirus (bcov) genotypes by a restriction enzymeassay.	2010 Jul	Brazil	10.1590/S1517-83822010000300034
20580052	Palmitoylation of SARS-CoV S protein is necessary for partitioning intodetergent-resistant membranes and cell-cell fusion but not interaction with Mprotein.	2010 Sep 15	United States	10.1016/j.virol.2010.05.031
20578793	A cost-based comparison of quarantine strategies for new emerging diseases.	2010 Jul	United States	10.3934/mbe.2010.7.687
20576142	Light whole genome sequence for SNP discovery across domestic cat breeds.	2010 Jun 24	England	10.1186/1471-2164-11-406
20574643	Naturally occurring recombination between distant strains of infectiousbronchitis virus.	2010 Oct	Austria	10.1007/s00705-010-0731-z
20573835	A single asparagine-linked glycosylation site of the severe acute respiratorysyndrome coronavirus spike glycoprotein facilitates inhibition by mannose-bindinglectin through multiple mechanisms.	2010 Sep	United States	10.1128/JVI.00554-10
20573827	The cellular RNA helicase DDX1 interacts with coronavirus nonstructural protein14 and enhances viral replication.	2010 Sep	United States	10.1128/JVI.00392-10
20570279	Comparative histopathology and immunohistochemistry of QX-like, Massachusetts and793/B serotypes of infectious bronchitis virus infection in chickens.	2010 Nov	England	10.1016/j.jcpa.2010.04.007
20569117	Identifying the probable timing and setting of respiratory virus infections.	2010 Aug	United States	10.1086/655023
20567988	Angiotensin-converting enzyme 2 (ACE2) proteins of different bat species confervariable susceptibility to SARS-CoV entry.	2010 Oct	Austria	10.1007/s00705-010-0729-6
20562343	Subgenomic messenger RNA amplification in coronaviruses.	2010 Jul 6	United States	10.1073/pnas.1000378107
20558599	Alternative splicing of CD200 is regulated by an exonic splicing enhancer andSF2/ASF.	2010 Oct	England	10.1093/nar/gkq554
20558216	Prolonged depletion of circulating CD4+ T lymphocytes and acute monocytosis afterpantropic canine coronavirus infection in dogs.	2010 Sep	Netherlands	10.1016/j.virusres.2010.06.006
20558050	[Bronchiolitis viruses].	2010 Aug	France	10.1016/j.arcped.2010.05.006
20557915	Detection and genotyping of canine coronavirus RNA in diarrheic dogs in Japan.	2011 Apr	England	10.1016/j.rvsc.2010.05.027
20556502	Genetic analysis revealed LX4 genotype strains of avian infectious bronchitisvirus became predominant in recent years in Sichuan area, China.	2010 Oct	United States	10.1007/s11262-010-0500-9
20554960	T cell epitope specificity and pathogenesis of mouse hepatitis virus-1-induceddisease in susceptible and resistant hosts.	2010 Jul 15	United States	10.4049/jimmunol.0902749
20554810	Epidemiology and clinical presentations of the four human coronaviruses 229E,HKU1, NL63, and OC43 detected over 3 years using a novel multiplex real-time PCRmethod.	2010 Aug	United States	10.1128/JCM.00636-10
20544430	Rapid heat-treatment attenuation of infectious bronchitis virus.	2010 Jun	England	10.1080/03079451003801516
20544234	Molecular epidemiology of porcine epidemic diarrhea virus in China.	2010 Sep	Austria	10.1007/s00705-010-0720-2
20542253	Coronaviruses Hijack the LC3-I-positive EDEMosomes, ER-derived vesicles exportingshort-lived ERAD regulators, for replication.	2010 Jun 25	United States	10.1016/j.chom.2010.05.013
20538854	Attachment of mouse hepatitis virus to O-acetylated sialic acid is mediated byhemagglutinin-esterase and not by the spike protein.	2010 Sep	United States	10.1128/JVI.00566-10
20538853	Differential sensitivity of well-differentiated avian respiratory epithelialcells to infection by different strains of infectious bronchitis virus.	2010 Sep	United States	10.1128/JVI.00463-10
20534452	Migration of engrafted neural stem cells is mediated by CXCL12 signaling throughCXCR4 in a viral model of multiple sclerosis.	2010 Jun 15	United States	10.1073/pnas.1006375107
20534109	Proteomic analysis of purified coronavirus infectious bronchitis virus particles.	2010 Jun 9	England	10.1186/1477-5956-8-29
20527968	Severe acute respiratory syndrome coronavirus papain-like novel proteaseinhibitors: design, synthesis, protein-ligand X-ray structure and biologicalevaluation.	2010 Jul 8	United States	10.1021/jm1004489
20525326	The relationship between antibody status to bovine corona virus and bovinerespiratory syncytial virus and disease incidence, reproduction and herdcharacteristics in dairy herds.	2010 Jun 4	England	10.1186/1751-0147-52-37
20519394	Accessory protein 5a is a major antagonist of the antiviral action of interferonagainst murine coronavirus.	2010 Aug	United States	10.1128/JVI.00385-10
20516605	Crystallization and preliminary X-ray diffraction studies of infectiousbronchitis virus nonstructural protein 9.	2010 Jun 1	England	10.1107/S174430911001417X
20516597	Expression, crystallization and preliminary crystallographic study of mousehepatitis virus (MHV) nucleocapsid protein C-terminal domain.	2010 Jun 1	England	10.1107/S1744309110012492
20513097	Viral respiratory infections in hospitalized and community control children inAlaska.	2010 Jul	United States	10.1002/jmv.21790
22319227	The First Case of Feline Infectious Peritonitis-like Pyogranuloma in a FerretInfected by Coronavirus in Japan.	2010 Jun	Japan	10.1293/tox.23.99
20507992	Elastase-mediated activation of the severe acute respiratory syndrome coronavirusspike protein at discrete sites within the S2 domain.	2010 Jul 23	United States	10.1074/jbc.M110.103275
20501927	Viral etiology of severe pneumonia among Kenyan infants and children.	2010 May 26	United States	10.1001/jama.2010.675
20497390	Development of a dose-response model for SARS coronavirus.	2010 Jul	United States	10.1111/j.1539-6924.2010.01427.x
20494577	Synthesis, docking studies, and evaluation of pyrimidines as inhibitors ofSARS-CoV 3CL protease.	2010 Jun 15	England	10.1016/j.bmcl.2010.04.118
20493876	SARS coronavirus unique domain: three-domain molecular architecture in solutionand RNA binding.	2010 Jul 23	England	10.1016/j.jmb.2010.05.027
20492637	Spatial patterns of bovine corona virus and bovine respiratory syncytial virus inthe Swedish beef cattle population.	2010 May 21	England	10.1186/1751-0147-52-33
20489209	Maturation mechanism of severe acute respiratory syndrome (SARS) coronavirus3C-like proteinase.	2010 Sep 3	United States	10.1074/jbc.M109.095851
20488264	Live attenuated Salmonella enterica serovar Typhimurium expressing swineinterferon-alpha has antiviral activity and alleviates clinical signs induced byinfection with transmissible gastroenteritis virus in piglets.	2010 Jul 12	Netherlands	10.1016/j.vaccine.2010.05.013
20484561	Ultrastructural and biochemical analyses of hepatitis C virus-associated hostcell membranes.	2010 Sep	England	10.1099/vir.0.022186-0
20484516	The proteasome inhibitor Velcade enhances rather than reduces disease in mousehepatitis coronavirus-infected mice.	2010 Aug	United States	10.1128/JVI.00486-10
20484511	Feline lectin activity is critical for the cellular entry of feline infectiousperitonitis virus.	2010 Aug	United States	10.1128/JVI.00964-10
20484504	The ubiquitin-proteasome system plays an important role during various stages ofthe coronavirus infection cycle.	2010 Aug	United States	10.1128/JVI.00485-10
20484496	Upregulation of the chemokine (C-C motif) ligand 2 via a severe acute respiratorysyndrome coronavirus spike-ACE2 signaling pathway.	2010 Aug	United States	10.1128/JVI.02560-09
20483547	Characterisation of bubaline coronavirus strains associated with gastroenteritisin water buffalo (Bubalus bubalis) calves.	2010 Oct 26	Netherlands	10.1016/j.vetmic.2010.04.010
20478545	Antiproliferative effect of Toona sinensis leaf extract on non-small-cell lungcancer.	2010 Jun	United States	10.1016/j.trsl.2010.03.002
20478263	Viral proteins function as ion channels.	2011 Feb	Netherlands	10.1016/j.bbamem.2010.05.006
20478089	Detection of a virus related to betacoronaviruses in Italian greater horseshoebats.	2011 Feb	England	10.1017/S0950268810001147
20478047	Interactions of SARS coronavirus nucleocapsid protein with the host cellproteasome subunit p42.	2010 May 17	England	10.1186/1743-422X-7-99
20467043	Quantitative proteomics using stable isotope labeling with amino acids in cellculture reveals changes in the cytoplasmic, nuclear, and nucleolar proteomes inVero cells infected with the coronavirus infectious bronchitis virus.	2010 Sep	United States	10.1074/mcp.M900345-MCP200
20466822	A small-molecule oxocarbazate inhibitor of human cathepsin L blocks severe acuterespiratory syndrome and ebola pseudotype virus infection into human embryonickidney 293T cells.	2010 Aug	United States	10.1124/mol.110.064261
20466573	Survey of infectious and parasitic diseases in stray cats at the LisbonMetropolitan Area, Portugal.	2010 Jun	England	10.1016/j.jfms.2009.11.003
20466438	Anti-TNF-alpha therapy does not ameliorate disease in a model of acutevirus-endotoxin mediated respiratory disease in pigs.	2010 Sep 15	Netherlands	10.1016/j.vetimm.2010.04.003
20463816	Infidelity of SARS-CoV Nsp14-exonuclease mutant virus replication is revealed bycomplete genome sequencing.	2010 May 6	United States	10.1371/journal.ppat.1000896
20462354	Significance of the myxovirus resistance A (MxA) gene -123C>a single-nucleotidepolymorphism in suppressed interferon beta induction of severe acute respiratorysyndrome coronavirus infection.	2010 Jun 15	United States	10.1086/652799
