TIME;CUSTOMER;OPERATION;EXTRA1;EXTRA2
00:24:35;688;ADD;33;2
00:24:44;257;ADD;2;2
00:24:46;38;ADD;33;4
00:24:52;941;ADD;55;9
00:24:57;846;ADD;39;9
00:25:08;171;ADD;5;6
00:25:11;981;ADD;1;8
00:25:27;775;ADD;56;3
00:25:30;969;ADD;8;8
00:25:41;965;DROP;29;8
00:26:01;965;ADD;30;7
00:26:04;160;ADD;9;2
00:26:10;516;ADD;54;6
00:26:15;497;ADD;15;3
00:26:29;965;ADD;40;9
00:26:37;666;CHECKOUT
00:26:41;801;ADD;15;2
00:26:50;871;ADD;42;7
00:26:52;989;ADD;51;2
00:26:56;291;ADD;35;9
00:26:56;529;DROP;38;6
00:27:16;688;ADD;8;5
00:27:31;981;DROP;1;1
00:27:34;672;CHECKOUT
00:27:37;48;ADD;22;8
00:27:38;60;ADD;11;6
00:27:39;688;ADD;8;6
00:27:46;937;ADD;6;3
00:27:50;855;ADD;42;9
00:27:52;711;ADD;43;6
00:27:53;497;ADD;15;5
00:27:53;698;ADD;49;9
00:28:02;721;ADD;32;3
00:28:07;497;ADD;7;7
00:28:12;989;ADD;55;2
00:28:13;185;ADD;11;5
00:28:18;732;ADD;16;5
00:28:19;497;ADD;7;7
00:28:19;992;ADD;1;4
00:28:20;801;DROP;15;1
00:28:26;801;ADD;15;5
00:28:26;937;ADD;6;6
00:28:37;385;CHECKOUT
00:28:37;600;ADD;27;7
00:28:41;946;ADD;32;3
00:28:55;38;CHECKOUT
00:28:59;550;CHECKOUT
00:29:10;97;DROP;5;1
00:29:26;729;DROP;57;2
00:29:42;434;ADD;18;9
00:29:42;489;ADD;7;6
00:29:44;331;ADD;59;1
00:29:44;946;ADD;6;9
00:29:45;574;ADD;45;9
00:29:47;981;ADD;1;4
00:30:18;67;ADD;14;2
00:30:25;871;DROP;42;5
00:30:35;688;CHECKOUT
00:30:37;846;ADD;39;3
00:30:38;497;ADD;36;4
00:30:45;970;ADD;48;7
00:30:46;775;DROP;56;2
00:31:03;419;ADD;25;4
00:31:05;97;ADD;9;9
00:31:17;459;ADD;41;1
00:31:21;161;ADD;29;2
00:31:30;106;ADD;15;5
00:31:30;721;DROP;32;2
00:31:36;801;CHECKOUT
00:31:40;497;DROP;36;3
00:31:41;992;DROP;1;2
00:31:47;169;ADD;16;4
00:31:50;946;DROP;6;1
00:31:52;160;DROP;9;2
00:31:56;574;ADD;45;4
00:32:10;965;DROP;40;6
00:32:15;946;CHECKOUT
00:32:46;941;ADD;55;2
00:33:04;438;ADD;16;3
00:33:09;231;ADD;6;5
00:33:15;729;CHECKOUT
00:33:15;775;CHECKOUT
00:33:27;981;CHECKOUT
00:33:29;160;ADD;9;2
00:33:31;331;CHECKOUT
00:33:37;659;ADD;22;6
00:33:42;290;ADD;44;8
00:34:00;516;ADD;48;3
00:34:18;516;ADD;48;6
00:34:18;600;CHECKOUT
00:34:29;489;DROP;7;3
00:34:41;440;ADD;14;5
00:34:45;86;ADD;4;3
00:34:59;855;DROP;42;1
00:35:17;721;ADD;32;9
00:35:18;42;ADD;33;8
00:35:25;992;ADD;29;5
00:35:27;846;CHECKOUT
00:35:36;989;DROP;55;1
00:35:52;475;ADD;57;1
00:35:53;171;ADD;43;5
00:35:57;160;ADD;14;4
00:35:59;106;ADD;15;3
00:36:29;992;DROP;29;1
00:36:54;160;CHECKOUT
00:36:59;989;CHECKOUT
00:37:01;855;ADD;25;5
00:37:15;373;ADD;42;5
00:37:15;536;CHECKOUT
00:37:35;37;ADD;15;8
00:37:48;291;DROP;35;3
00:38:05;659;DROP;22;1
00:38:12;451;DROP;41;4
00:38:17;606;DROP;30;2
00:38:23;485;ADD;29;5
00:38:34;37;ADD;15;7
00:38:34;116;ADD;35;4
00:38:34;369;ADD;38;7
00:38:36;434;ADD;13;2
00:38:59;701;ADD;43;2
00:39:14;911;ADD;43;5
00:39:15;116;DROP;35;1
00:39:21;116;ADD;58;2
00:39:30;116;ADD;58;7
00:39:43;764;ADD;5;3
00:39:43;902;ADD;27;7
00:39:44;116;ADD;33;9
00:39:50;116;ADD;33;4
00:40:02;116;CHECKOUT
00:40:13;969;DROP;8;4
00:40:14;352;ADD;18;6
00:40:18;574;CHECKOUT
00:40:22;97;DROP;9;5
00:40:40;352;DROP;18;1
00:41:05;244;ADD;50;6
00:41:47;352;ADD;56;9
00:41:51;497;ADD;36;6
00:41:57;721;ADD;18;4
00:42:05;965;CHECKOUT
00:42:09;459;CHECKOUT
00:42:18;921;ADD;18;8
00:42:22;757;ADD;6;3
00:42:25;980;DROP;12;7
00:42:32;369;DROP;38;3
00:42:37;31;ADD;45;9
00:42:46;602;ADD;42;6
00:42:55;606;ADD;30;7
00:42:57;992;ADD;29;2
00:42:58;455;ADD;35;2
00:43:19;661;ADD;24;1
00:43:21;260;ADD;22;5
00:43:26;806;ADD;21;7
00:43:33;497;CHECKOUT
00:43:42;606;CHECKOUT
00:43:47;373;ADD;14;9
00:43:49;764;DROP;5;3
00:43:50;346;ADD;3;7
00:43:55;352;DROP;56;6
00:44:08;485;ADD;29;3
00:44:18;878;CHECKOUT
00:44:31;489;ADD;7;1
00:44:38;53;ADD;24;4
00:44:49;558;ADD;48;2
00:44:51;106;CHECKOUT
00:45:12;721;DROP;18;3
00:45:15;776;ADD;38;2
00:45:21;992;CHECKOUT
00:45:41;352;ADD;56;9
00:45:41;485;ADD;8;9
00:45:43;806;DROP;21;2
00:45:43;902;ADD;27;4
00:46:22;434;DROP;13;1
00:46:22;776;DROP;38;1
00:46:23;970;ADD;3;2
00:46:27;174;ADD;1;8
00:46:27;346;DROP;3;6
00:46:35;659;ADD;22;6
00:46:40;745;ADD;0;8
00:46:43;485;ADD;35;1
00:46:48;697;ADD;24;9
00:46:52;111;ADD;59;8
00:46:57;369;ADD;58;1
00:47:13;721;CHECKOUT
00:47:14;369;CHECKOUT
00:47:18;969;ADD;50;4
00:47:26;485;ADD;35;7
00:47:28;847;ADD;44;5
00:47:46;827;ADD;17;9
00:47:53;260;ADD;20;8
00:47:57;652;ADD;40;6
00:48:00;855;ADD;29;8
00:48:07;737;ADD;31;3
00:48:19;659;ADD;40;2
00:48:24;654;ADD;45;4
00:48:26;346;CHECKOUT
00:48:31;231;DROP;6;3
00:48:31;902;CHECKOUT
00:48:33;932;ADD;12;4
00:48:39;776;ADD;36;8
00:48:41;737;DROP;31;2
00:48:53;847;DROP;44;4
00:48:57;455;DROP;35;1
00:48:58;652;DROP;40;5
00:49:02;776;DROP;36;2
00:49:10;806;ADD;21;1
00:49:21;977;DROP;16;1
00:49:33;373;ADD;55;3
00:49:52;3;ADD;11;4
00:49:54;529;ADD;41;8
00:49:57;932;DROP;12;2
00:50:03;464;ADD;0;3
00:50:21;661;DROP;24;1
00:50:26;291;ADD;58;1
00:50:48;111;ADD;25;3
00:50:51;293;ADD;12;7
00:50:54;455;ADD;47;1
00:50:56;516;CHECKOUT
00:51:02;933;ADD;32;5
00:51:07;653;ADD;33;8
00:51:09;268;ADD;49;6
00:51:13;97;ADD;47;7
00:51:14;291;ADD;58;9
00:51:14;352;CHECKOUT
00:51:29;806;ADD;45;5
00:51:42;373;DROP;55;2
00:51:48;855;CHECKOUT
00:51:55;712;ADD;36;2
00:52:05;568;CHECKOUT
00:52:07;97;DROP;47;2
00:52:07;990;ADD;42;6
00:52:22;74;ADD;9;2
00:52:29;806;ADD;45;5
00:52:32;830;ADD;43;6
00:52:36;414;ADD;41;7
00:52:36;933;ADD;27;6
00:52:38;434;ADD;48;1
00:52:41;830;ADD;32;5
00:52:45;776;ADD;36;6
00:52:53;984;ADD;6;2
00:52:56;935;ADD;41;8
00:53:12;434;DROP;48;1
00:53:21;231;ADD;25;5
00:53:28;554;ADD;11;3
00:53:43;386;ADD;30;6
00:53:51;984;DROP;6;1
00:54:15;293;DROP;12;4
00:54:18;455;DROP;47;1
00:54:39;144;ADD;41;2
00:54:43;417;ADD;2;9
00:55:00;162;ADD;41;4
00:55:03;694;DROP;37;2
00:55:11;806;ADD;25;4
00:55:19;415;ADD;6;7
00:55:21;60;DROP;11;5
00:55:28;414;DROP;41;1
00:55:30;517;ADD;1;2
00:55:36;231;DROP;25;4
00:55:44;806;ADD;25;3
00:55:55;806;CHECKOUT
00:55:59;162;DROP;41;1
00:56:15;736;ADD;40;3
00:56:21;185;ADD;11;6
00:56:28;529;ADD;41;8
00:56:34;485;CHECKOUT
00:56:36;830;DROP;32;1
00:56:37;776;ADD;54;3
00:56:39;830;CHECKOUT
00:56:41;169;DROP;16;1
00:56:48;987;ADD;49;4
00:57:05;937;CHECKOUT
00:57:16;373;CHECKOUT
00:57:25;161;ADD;29;2
00:57:32;258;ADD;23;9
00:57:46;985;ADD;42;3
00:57:56;871;ADD;3;4
00:58:23;434;ADD;48;1
00:58:29;415;ADD;6;6
00:58:45;453;ADD;57;2
00:58:49;371;ADD;28;7
00:58:51;75;ADD;8;1
00:58:54;89;ADD;1;2
00:58:55;210;ADD;17;9
00:58:55;681;ADD;47;2
00:59:04;529;ADD;1;2
00:59:13;825;ADD;11;2
00:59:14;145;ADD;10;7
00:59:21;111;DROP;25;2
00:59:22;970;ADD;3;7
00:59:37;859;ADD;6;8
01:00:00;455;ADD;47;9
01:00:00;597;ADD;0;2
01:00:05;987;CHECKOUT
01:00:07;89;DROP;1;2
01:00:14;404;ADD;1;8
01:00:24;382;ADD;8;8
01:00:25;745;ADD;0;5
01:00:41;453;DROP;57;1
01:00:47;464;DROP;0;2
01:00:48;859;DROP;6;3
01:00:56;859;ADD;47;9
01:00:59;908;ADD;37;8
01:01:16;293;ADD;14;5
01:01:17;145;ADD;10;7
01:01:21;382;ADD;8;5
01:01:22;950;ADD;6;4
01:01:24;498;ADD;9;3
01:01:25;985;ADD;42;4
01:01:43;745;ADD;49;2
01:01:53;532;ADD;19;9
01:01:57;529;DROP;1;1
01:02:06;932;CHECKOUT
01:02:10;554;ADD;11;2
01:02:10;811;ADD;31;5
01:02:16;776;ADD;54;3
01:02:27;453;CHECKOUT
01:02:32;169;ADD;50;8
01:02:34;374;ADD;57;5
01:02:54;350;ADD;49;7
01:03:23;966;ADD;17;2
01:03:36;434;CHECKOUT
01:03:41;529;ADD;1;6
01:03:58;415;ADD;24;9
01:03:59;509;ADD;40;8
01:04:08;60;ADD;11;5
01:04:08;468;ADD;22;5
01:04:20;923;ADD;8;7
01:04:22;455;CHECKOUT
01:04:27;509;DROP;40;6
01:04:32;97;CHECKOUT
01:04:33;295;ADD;15;3
01:04:44;321;ADD;41;7
01:04:48;509;CHECKOUT
01:04:55;257;ADD;2;3
01:05:10;966;ADD;17;6
01:05:12;578;ADD;42;1
01:05:16;164;ADD;38;7
01:05:25;597;DROP;0;2
01:05:27;415;DROP;24;2
01:05:29;658;ADD;41;3
01:05:35;990;DROP;42;4
01:05:50;532;ADD;5;9
01:05:50;578;ADD;42;3
01:05:52;776;CHECKOUT
01:05:59;745;ADD;56;8
01:06:03;374;CHECKOUT
01:06:22;254;ADD;53;6
01:06:23;985;ADD;40;5
01:06:28;234;ADD;54;7
01:06:28;859;ADD;47;1
01:06:29;234;ADD;54;2
01:06:30;717;ADD;13;4
01:06:32;234;ADD;34;4
01:06:32;371;ADD;28;9
01:06:33;234;ADD;13;8
01:06:34;234;DROP;13;7
01:06:36;234;CHECKOUT
01:06:40;590;ADD;3;4
01:06:40;716;ADD;37;9
01:06:41;314;ADD;1;4
01:06:54;188;ADD;52;7
01:06:54;382;CHECKOUT
01:07:29;293;DROP;14;5
01:08:02;653;DROP;33;1
01:08:15;946;ADD;9;8
01:08:20;752;ADD;38;8
01:08:26;314;DROP;1;3
01:08:30;600;ADD;45;3
01:08:34;911;DROP;43;1
01:08:37;687;ADD;23;6
01:08:49;75;DROP;8;1
01:08:52;438;DROP;16;3
01:08:58;561;ADD;20;8
01:09:00;935;DROP;41;7
01:09:06;659;ADD;38;4
01:09:12;428;ADD;45;4
01:09:14;859;ADD;55;8
01:09:15;990;ADD;19;8
01:09:18;600;ADD;45;9
01:09:24;631;ADD;14;9
01:09:25;871;DROP;3;1
01:09:30;171;ADD;43;7
01:09:32;908;DROP;37;5
01:09:40;471;ADD;20;8
01:09:54;291;ADD;43;5
01:10:00;659;ADD;38;7
01:10:01;89;ADD;1;5
01:10:01;257;CHECKOUT
01:10:04;102;ADD;7;9
01:10:13;922;ADD;36;9
01:10:19;960;ADD;48;2
01:10:29;950;DROP;6;1
01:10:32;953;ADD;11;4
01:10:36;284;ADD;42;2
01:10:40;550;ADD;14;7
01:10:41;314;ADD;31;4
01:10:44;306;ADD;8;7
01:10:44;654;DROP;45;2
01:10:47;654;ADD;8;1
01:10:59;847;ADD;44;8
01:11:09;254;CHECKOUT
01:11:15;717;DROP;13;1
01:11:17;291;ADD;43;5
01:11:19;314;DROP;31;1
01:11:29;89;ADD;6;3
01:11:36;31;ADD;45;3
01:11:43;37;ADD;38;7
01:11:47;228;ADD;9;2
01:11:49;314;ADD;34;6
01:12:02;970;CHECKOUT
01:12:08;908;ADD;8;6
01:12:12;529;CHECKOUT
01:12:15;654;ADD;48;2
01:12:16;171;CHECKOUT
01:12:18;985;DROP;40;5
01:12:30;54;ADD;43;1
01:12:32;161;ADD;3;7
01:12:49;56;ADD;18;6
01:12:54;89;ADD;6;4
01:12:55;745;DROP;56;2
01:12:58;602;DROP;42;2
01:13:17;307;ADD;1;3
01:13:20;985;ADD;40;1
01:13:22;164;ADD;20;6
01:13:30;164;ADD;43;8
01:13:35;480;ADD;0;2
01:13:36;990;DROP;19;3
01:13:37;960;ADD;48;2
01:13:48;701;ADD;43;8
01:13:51;471;DROP;20;1
01:13:54;386;DROP;30;1
01:14:04;112;ADD;26;5
01:14:09;314;DROP;34;4
01:14:12;871;ADD;3;8
01:14:21;561;ADD;20;4
01:14:25;304;ADD;15;5
01:14:34;847;ADD;38;6
01:14:35;691;ADD;31;4
01:14:38;231;ADD;25;3
01:14:38;966;CHECKOUT
01:14:39;404;DROP;1;1
01:14:47;144;ADD;41;6
01:14:53;532;ADD;24;3
01:14:59;706;ADD;19;5
01:14:59;745;CHECKOUT
01:15:01;921;ADD;18;3
01:15:12;231;CHECKOUT
01:15:30;284;CHECKOUT
01:15:37;147;ADD;51;2
01:15:38;471;CHECKOUT
01:15:38;475;ADD;24;2
01:15:49;926;ADD;53;9
01:15:54;950;ADD;6;4
01:16:11;711;ADD;37;7
01:16:13;480;DROP;0;1
01:16:15;985;CHECKOUT
01:16:22;415;ADD;17;1
01:16:26;475;DROP;24;2
01:16:27;89;CHECKOUT
01:16:29;733;ADD;47;4
01:16:31;314;ADD;34;2
01:16:40;164;DROP;43;5
01:16:44;75;ADD;8;4
01:16:46;550;DROP;14;5
01:17:03;711;CHECKOUT
01:17:05;103;ADD;15;2
01:17:06;678;ADD;33;3
01:17:07;38;ADD;57;3
01:17:08;38;ADD;57;5
01:17:10;956;ADD;37;4
01:17:14;169;CHECKOUT
01:17:16;488;ADD;49;4
01:17:18;795;ADD;33;5
01:17:23;314;CHECKOUT
01:17:27;757;ADD;6;4
01:17:28;561;ADD;58;3
01:17:33;37;ADD;38;7
01:17:34;688;ADD;45;2
01:17:44;112;DROP;26;1
01:17:45;38;ADD;47;1
01:17:48;554;CHECKOUT
01:17:54;38;DROP;47;1
01:17:57;904;ADD;10;8
01:18:00;948;ADD;54;7
01:18:05;38;ADD;47;8
01:18:07;38;CHECKOUT
01:18:19;144;CHECKOUT
01:18:19;871;ADD;47;8
01:18:25;304;DROP;15;1
01:18:32;659;CHECKOUT
01:18:39;239;ADD;45;9
01:18:42;933;DROP;27;1
01:18:59;188;DROP;52;5
01:19:01;180;ADD;49;2
01:19:08;947;ADD;39;3
01:19:10;468;ADD;22;5
01:19:24;133;ADD;41;2
01:19:32;105;ADD;4;2
01:19:42;658;DROP;41;1
01:19:44;304;ADD;36;5
01:19:51;618;ADD;6;3
01:19:55;75;ADD;18;6
01:19:59;550;ADD;14;9
01:20:00;37;ADD;54;1
01:20:00;670;ADD;2;8
01:20:06;690;ADD;51;2
01:20:10;180;ADD;49;5
01:20:17;364;ADD;42;3
01:20:34;670;ADD;50;3
01:20:41;475;ADD;24;3
01:20:44;3;ADD;47;2
01:20:53;555;ADD;34;3
01:20:55;293;ADD;14;5
01:21:00;60;ADD;24;4
01:21:15;517;DROP;1;1
01:21:21;404;CHECKOUT
01:21:21;550;ADD;9;4
01:21:25;301;ADD;37;3
01:21:42;239;DROP;45;5
01:21:44;390;ADD;29;2
01:21:45;112;ADD;26;7
01:21:49;582;ADD;12;2
01:21:51;489;ADD;30;4
01:21:54;164;ADD;43;8
01:21:56;397;ADD;29;2
01:21:58;756;ADD;22;2
01:22:00;795;ADD;43;7
01:22:08;307;ADD;12;7
01:22:09;960;ADD;46;3
01:22:11;618;DROP;6;2
01:22:35;94;ADD;42;4
01:22:42;550;DROP;9;4
01:22:47;239;ADD;58;7
01:22:48;164;CHECKOUT
01:22:57;301;ADD;37;6
01:22:58;862;ADD;46;7
01:23:01;705;ADD;4;6
01:23:20;39;ADD;17;1
01:23:22;454;ADD;55;7
01:23:28;37;CHECKOUT
01:23:32;446;ADD;54;8
01:23:36;859;ADD;55;7
01:23:39;39;ADD;15;4
01:23:41;980;ADD;12;7
01:23:42;654;DROP;48;1
01:23:44;39;DROP;15;3
01:23:46;371;ADD;7;8
01:23:47;499;ADD;26;7
01:23:49;950;CHECKOUT
01:23:50;230;ADD;58;2
01:23:50;475;CHECKOUT
01:23:57;94;DROP;42;2
01:23:58;911;ADD;2;7
01:24:16;239;ADD;58;8
01:24:16;738;ADD;12;7
01:24:29;117;ADD;34;8
01:24:38;925;ADD;40;9
01:24:43;386;ADD;30;4
01:24:48;911;DROP;2;5
01:24:56;147;ADD;1;4
01:25:03;428;ADD;53;4
01:25:05;285;ADD;1;6
01:25:13;969;DROP;50;3
01:25:17;941;CHECKOUT
01:25:19;75;ADD;18;6
01:25:25;0;ADD;29;2
01:25:28;532;DROP;24;1
01:25:35;733;DROP;47;3
01:25:38;853;ADD;56;9
01:25:49;550;ADD;9;7
01:25:50;553;ADD;53;8
01:25:55;498;DROP;9;1
01:25:58;28;ADD;31;5
01:25:58;693;ADD;6;5
01:26:01;857;ADD;46;7
01:26:08;935;ADD;41;8
01:26:12;412;ADD;22;8
01:26:32;255;ADD;39;3
01:26:35;304;DROP;36;3
01:26:38;39;ADD;10;5
01:26:52;39;CHECKOUT
01:27:00;289;ADD;53;3
01:27:02;561;DROP;58;2
01:27:04;371;ADD;37;6
01:27:08;307;DROP;12;4
01:27:12;94;ADD;42;2
01:27:13;947;ADD;39;8
01:27:20;862;ADD;46;5
01:27:23;319;ADD;59;5
01:27:27;103;ADD;24;8
01:27:27;907;ADD;8;3
01:27:34;94;ADD;52;2
01:27:47;0;ADD;29;5
01:27:59;103;ADD;24;6
01:28:04;180;ADD;42;3
01:28:20;87;ADD;49;9
01:28:20;780;ADD;35;8
01:28:24;975;ADD;4;9
01:28:31;371;DROP;37;5
01:29:00;578;ADD;53;3
01:29:01;634;ADD;10;4
01:29:01;859;CHECKOUT
01:29:15;228;DROP;9;1
01:29:35;364;DROP;42;1
01:29:35;953;ADD;11;9
01:29:51;707;ADD;29;8
01:29:56;653;ADD;33;5
01:30:06;27;ADD;14;3
01:30:07;926;DROP;53;6
01:30:08;570;ADD;37;3
01:30:11;537;ADD;41;2
01:30:16;27;ADD;21;4
01:30:23;980;ADD;18;9
01:30:34;537;DROP;41;2
01:30:34;933;ADD;16;4
01:30:36;733;CHECKOUT
01:30:46;578;DROP;53;2
01:30:53;260;DROP;20;6
01:30:57;304;ADD;3;7
01:31:06;857;CHECKOUT
01:31:18;537;ADD;41;5
01:31:27;607;ADD;8;1
01:31:32;757;CHECKOUT
01:31:43;161;ADD;38;3
01:31:55;393;ADD;31;3
01:31:59;577;ADD;0;8
01:32:04;552;ADD;37;6
01:32:10;588;ADD;47;2
01:32:55;371;CHECKOUT
01:32:58;210;ADD;21;2
01:32:59;878;ADD;10;7
01:33:03;878;DROP;10;1
01:33:08;550;CHECKOUT
01:33:10;588;ADD;47;6
01:33:10;661;ADD;24;9
01:33:15;878;ADD;11;7
01:33:19;415;CHECKOUT
01:33:20;219;ADD;0;4
01:33:33;304;DROP;3;6
01:33:34;480;CHECKOUT
01:33:37;537;ADD;59;6
01:33:38;307;CHECKOUT
01:33:40;948;ADD;54;5
01:33:44;239;ADD;17;8
01:33:57;105;DROP;4;2
01:33:58;75;ADD;50;8
01:33:58;161;DROP;38;3
01:34:05;112;ADD;51;9
01:34:06;105;ADD;4;6
01:34:07;386;ADD;36;4
01:34:21;999;ADD;25;5
01:34:24;990;ADD;19;1
01:34:26;878;DROP;11;3
01:34:46;555;ADD;12;3
01:34:52;878;ADD;11;4
01:34:54;717;ADD;13;7
01:34:55;386;ADD;40;9
01:34:58;793;ADD;2;6
01:35:00;793;ADD;2;2
01:35:01;793;ADD;45;5
01:35:04;604;ADD;56;1
01:35:14;793;DROP;45;4
01:35:15;654;CHECKOUT
01:35:17;793;ADD;45;1
01:35:22;647;ADD;25;3
01:35:23;793;ADD;21;7
01:35:28;793;CHECKOUT
01:35:29;103;ADD;53;1
01:35:34;75;DROP;50;4
01:35:34;922;DROP;36;1
01:35:37;652;ADD;51;4
01:35:37;873;ADD;49;8
01:35:38;634;ADD;10;1
01:35:42;604;ADD;56;9
01:35:44;189;ADD;11;5
01:35:44;980;CHECKOUT
01:35:45;189;DROP;11;4
01:35:49;189;ADD;11;1
01:35:50;537;DROP;59;1
01:35:52;28;ADD;4;7
01:35:52;604;ADD;14;1
01:35:55;319;DROP;59;3
01:35:55;604;ADD;14;5
01:35:58;189;ADD;41;7
01:35:58;582;ADD;43;3
01:36:02;604;ADD;59;4
01:36:06;301;CHECKOUT
01:36:07;189;CHECKOUT
01:36:07;604;DROP;59;4
01:36:17;306;ADD;8;6
01:36:25;993;ADD;30;4
01:36:34;103;CHECKOUT
01:36:35;98;ADD;59;3
01:36:44;235;ADD;47;3
01:36:45;210;ADD;7;4
01:36:55;537;ADD;5;9
01:37:05;933;DROP;16;2
01:37:09;112;DROP;51;7
01:37:10;385;ADD;29;9
01:37:19;878;CHECKOUT
01:37:22;537;CHECKOUT
01:37:35;604;ADD;59;5
01:37:39;364;ADD;42;5
01:37:41;161;ADD;38;1
01:37:42;161;CHECKOUT
01:37:52;304;CHECKOUT
01:37:52;364;CHECKOUT
01:38:01;604;CHECKOUT
01:38:03;188;ADD;52;3
01:38:09;670;DROP;50;2
01:38:25;401;ADD;51;7
01:38:34;244;ADD;37;7
01:38:54;752;DROP;38;2
01:39:03;305;ADD;12;2
01:39:03;795;DROP;43;2
01:39:12;717;ADD;3;6
01:39:17;0;ADD;44;6
01:39:18;27;ADD;21;9
01:39:23;268;ADD;49;9
01:39:27;430;ADD;13;8
01:39:36;180;DROP;42;1
01:39:37;321;CHECKOUT
01:39:51;428;CHECKOUT
01:39:53;363;ADD;0;3
01:39:58;28;DROP;4;4
01:39:58;670;CHECKOUT
01:40:03;153;ADD;34;3
01:40:05;293;CHECKOUT
01:40:12;693;ADD;15;5
01:40:14;563;ADD;46;4
01:40:24;969;CHECKOUT
01:40:30;817;ADD;37;4
01:40:32;75;ADD;50;8
01:40:32;219;DROP;0;1
01:40:33;701;ADD;55;2
01:40:42;401;CHECKOUT
01:40:43;187;ADD;25;9
01:40:48;649;ADD;11;1
01:40:48;940;ADD;17;3
01:40:52;315;ADD;39;5
01:40:58;649;DROP;11;1
01:41:00;493;ADD;33;7
01:41:03;752;ADD;4;6
01:41:19;922;ADD;36;1
01:41:32;933;CHECKOUT
01:41:36;180;ADD;42;1
01:41:37;649;ADD;11;1
01:41:41;7;ADD;15;5
01:41:42;0;DROP;44;5
01:41:43;383;ADD;21;8
01:41:47;94;CHECKOUT
01:41:49;570;DROP;37;2
